Resistance ,Current ,Voltage ,Time,timestamp,relative humidity [%RH],temperature [degC]
2006008,392,256,12:44:54,2023-11-29T12:44:54.182,21.67,21.52
2007427,393,256,12:44:56,2023-11-29T12:44:56.177,21.67,21.52
2008807,394,256,12:44:57,2023-11-29T12:44:57.171,21.12,21.52
2010135,395,256,12:44:58,2023-11-29T12:44:58.172,21.12,21.52
2011438,396,256,12:44:59,2023-11-29T12:44:59.167,21.67,21.52
2012706,398,256,12:45:00,2023-11-29T12:45:00.174,21.12,21.52
2013973,399,256,12:45:02,2023-11-29T12:45:02.167,21.67,21.52
2015187,400,256,12:45:03,2023-11-29T12:45:03.169,21.12,21.52
2016396,401,256,12:45:04,2023-11-29T12:45:04.160,21.12,21.52
2017499,402,256,12:45:05,2023-11-29T12:45:05.164,21.12,21.52
2018731,404,256,12:45:06,2023-11-29T12:45:06.157,21.12,21.52
2019752,405,256,12:45:07,2023-11-29T12:45:07.161,21.12,21.52
2020876,406,256,12:45:09,2023-11-29T12:45:09.224,21.12,21.52
2021939,407,256,12:45:10,2023-11-29T12:45:10.151,21.12,21.52
2022889,408,256,12:45:11,2023-11-29T12:45:11.154,21.12,21.52
2024045,410,256,12:45:12,2023-11-29T12:45:12.147,20.57,21.52
2024994,411,256,12:45:13,2023-11-29T12:45:13.151,21.12,21.52
2026020,412,256,12:45:15,2023-11-29T12:45:14.148,21.12,21.52
2027006,413,256,12:45:16,2023-11-29T12:45:15.145,21.12,21.52
2027976,414,256,12:45:17,2023-11-29T12:45:16.147,20.57,21.52
2028924,416,256,12:45:18,2023-11-29T12:45:17.142,20.57,21.52
2029829,417,256,12:45:19,2023-11-29T12:45:18.143,21.12,21.52
2030665,418,256,12:45:21,2023-11-29T12:45:19.141,20.57,21.52
2031646,419,256,12:45:22,2023-11-29T12:45:20.133,20.57,21.52
2032567,420,256,12:45:23,2023-11-29T12:45:21.145,20.57,21.48
2033426,421,256,12:45:24,2023-11-29T12:45:22.132,20.57,21.52
2034278,423,256,12:45:25,2023-11-29T12:45:23.135,20.57,21.52
2035169,424,256,12:45:27,2023-11-29T12:45:24.137,20.57,21.48
2036005,425,256,12:45:28,2023-11-29T12:45:25.135,20.57,21.52
2036750,426,256,12:45:29,2023-11-29T12:45:26.132,20.57,21.52
2037774,427,256,12:45:30,2023-11-29T12:45:27.157,20.57,21.52
2038515,429,256,12:45:31,2023-11-29T12:45:28.127,20.57,21.52
2039311,430,256,12:45:33,2023-11-29T12:45:29.129,20.57,21.52
2039711,431,256,12:45:34,2023-11-29T12:45:30.128,20.57,21.52
2040910,432,256,12:45:35,2023-11-29T12:45:31.119,20.57,21.52
2041711,433,256,12:45:36,2023-11-29T12:45:32.121,20.57,21.52
2042622,435,256,12:45:37,2023-11-29T12:45:33.121,20.57,21.52
2043256,436,256,12:45:39,2023-11-29T12:45:34.114,20.57,21.52
2044026,437,256,12:45:40,2023-11-29T12:45:35.110,20.57,21.52
2044788,438,256,12:45:41,2023-11-29T12:45:36.112,20.57,21.52
2045552,439,256,12:45:42,2023-11-29T12:45:37.112,20.57,21.52
2046287,441,256,12:45:43,2023-11-29T12:45:38.108,20.57,21.52
2047039,442,256,12:45:45,2023-11-29T12:45:39.113,20.57,21.52
2047769,443,256,12:45:46,2023-11-29T12:45:40.107,20.57,21.52
2048501,444,256,12:45:47,2023-11-29T12:45:41.110,20.57,21.52
2049207,445,256,12:45:48,2023-11-29T12:45:42.101,20.57,21.52
2049944,446,256,12:45:49,2023-11-29T12:45:43.102,20.57,21.52
2050577,448,256,12:45:51,2023-11-29T12:45:44.105,20.57,21.52
2051367,449,256,12:45:52,2023-11-29T12:45:45.107,20.57,21.52
2052071,450,256,12:45:53,2023-11-29T12:45:46.104,20.57,21.52
2052753,451,256,12:45:54,2023-11-29T12:45:47.095,20.57,21.52
2053428,452,256,12:45:55,2023-11-29T12:45:48.092,20.57,21.52
2054134,454,256,12:45:56,2023-11-29T12:45:49.092,20.57,21.52
2054806,455,256,12:45:58,2023-11-29T12:45:50.087,20.57,21.48
2055480,456,256,12:45:59,2023-11-29T12:45:51.086,20.57,21.52
2056154,457,256,12:46:00,2023-11-29T12:45:52.087,20.57,21.52
2056841,458,256,12:46:01,2023-11-29T12:45:53.084,20.57,21.52
2057519,460,256,12:46:02,2023-11-29T12:45:54.082,20.57,21.52
2058175,461,256,12:46:04,2023-11-29T12:45:55.089,20.57,21.52
2058819,462,256,12:46:05,2023-11-29T12:45:56.083,20.57,21.52
2059488,463,256,12:46:06,2023-11-29T12:45:57.080,20.57,21.52
2060076,464,256,12:46:07,2023-11-29T12:45:58.085,20.57,21.52
2060795,465,256,12:46:08,2023-11-29T12:45:59.075,20.57,21.52
2061448,467,256,12:46:10,2023-11-29T12:46:00.075,20.57,21.52
2062091,468,256,12:46:11,2023-11-29T12:46:01.077,20.57,21.52
2062750,469,256,12:46:12,2023-11-29T12:46:02.078,20.57,21.52
2063376,470,256,12:46:13,2023-11-29T12:46:03.074,20.57,21.52
2063985,471,256,12:46:14,2023-11-29T12:46:04.074,20.57,21.52
2064676,473,256,12:46:16,2023-11-29T12:46:05.069,20.57,21.52
2065283,474,256,12:46:17,2023-11-29T12:46:06.067,20.57,21.52
2065921,475,256,12:46:18,2023-11-29T12:46:07.063,20.57,21.52
2066555,476,256,12:46:19,2023-11-29T12:46:08.063,20.57,21.52
2067185,477,256,12:46:20,2023-11-29T12:46:09.067,20.57,21.52
2067796,479,256,12:46:22,2023-11-29T12:46:10.062,20.57,21.52
2068429,480,256,12:46:23,2023-11-29T12:46:11.056,20.57,21.52
2069046,481,256,12:46:24,2023-11-29T12:46:12.056,20.57,21.52
2069675,482,256,12:46:25,2023-11-29T12:46:13.057,20.57,21.52
2070296,483,256,12:46:26,2023-11-29T12:46:14.051,20.57,21.52
2070911,485,256,12:46:28,2023-11-29T12:46:15.058,20.57,21.52
2071516,486,256,12:46:29,2023-11-29T12:46:16.055,20.57,21.52
2072134,487,256,12:46:30,2023-11-29T12:46:17.051,20.57,21.52
2072764,488,256,12:46:31,2023-11-29T12:46:18.050,20.57,21.52
2073378,489,256,12:46:32,2023-11-29T12:46:19.051,20.57,21.52
2073978,491,256,12:46:34,2023-11-29T12:46:20.050,20.57,21.52
2074603,492,256,12:46:35,2023-11-29T12:46:21.046,20.57,21.48
2075210,493,256,12:46:36,2023-11-29T12:46:22.120,20.57,21.52
2075799,494,256,12:46:37,2023-11-29T12:46:23.045,20.57,21.52
2076213,495,256,12:46:38,2023-11-29T12:46:24.044,20.57,21.52
2077015,496,256,12:46:40,2023-11-29T12:46:25.039,20.57,21.48
2077611,498,256,12:46:41,2023-11-29T12:46:26.034,20.57,21.52
2078365,499,256,12:46:42,2023-11-29T12:46:27.031,20.57,21.52
2078754,500,256,12:46:43,2023-11-29T12:46:28.081,20.57,21.52
2079421,501,256,12:46:44,2023-11-29T12:46:29.029,20.57,21.52
2080013,502,256,12:46:45,2023-11-29T12:46:30.032,20.57,21.52
2080598,504,256,12:46:47,2023-11-29T12:46:31.024,20.57,21.52
2081188,505,256,12:46:48,2023-11-29T12:46:32.031,20.57,21.52
2081797,506,256,12:46:49,2023-11-29T12:46:33.027,20.57,21.52
2082364,507,256,12:46:50,2023-11-29T12:46:34.025,20.57,21.52
2082907,508,256,12:46:51,2023-11-29T12:46:35.026,20.57,21.52
2083641,510,256,12:46:53,2023-11-29T12:46:36.027,20.57,21.52
