Resistance ,Current ,Voltage ,Time,timestamp,relative humidity [%RH],temperature [degC]
1498317,2142,256,13:14:07,2023-11-29T13:14:07.458,60.98,21.4
1498264,2143,256,13:14:09,2023-11-29T13:14:09.447,60.98,21.4
1498512,2144,256,13:14:10,2023-11-29T13:14:10.449,60.98,21.4
1498473,2145,256,13:14:11,2023-11-29T13:14:11.451,60.98,21.4
1498501,2147,256,13:14:12,2023-11-29T13:14:12.450,61.46,21.4
1498697,2148,256,13:14:13,2023-11-29T13:14:13.439,61.46,21.4
1498604,2149,256,13:14:15,2023-11-29T13:14:14.447,60.98,21.4
1498786,2150,256,13:14:16,2023-11-29T13:14:15.440,61.45,21.36
1498891,2151,256,13:14:17,2023-11-29T13:14:16.437,61.46,21.4
1498957,2153,256,13:14:18,2023-11-29T13:14:17.441,61.46,21.4
1499141,2154,256,13:14:19,2023-11-29T13:14:18.441,61.46,21.4
1499259,2155,256,13:14:21,2023-11-29T13:14:19.431,61.46,21.4
1499114,2156,256,13:14:22,2023-11-29T13:14:20.438,61.46,21.36
1499167,2157,256,13:14:23,2023-11-29T13:14:21.431,61.46,21.4
1499283,2158,256,13:14:24,2023-11-29T13:14:22.426,61.46,21.4
1499454,2160,256,13:14:25,2023-11-29T13:14:23.432,61.46,21.4
1499387,2161,256,13:14:27,2023-11-29T13:14:24.428,61.46,21.36
1499480,2162,256,13:14:28,2023-11-29T13:14:25.428,61.46,21.36
1499624,2163,256,13:14:29,2023-11-29T13:14:26.426,61.46,21.36
1499690,2164,256,13:14:30,2023-11-29T13:14:27.420,61.46,21.4
1499860,2166,256,13:14:31,2023-11-29T13:14:28.424,61.46,21.4
1499950,2167,256,13:14:33,2023-11-29T13:14:29.414,61.46,21.4
1499819,2168,256,13:14:34,2023-11-29T13:14:30.414,61.46,21.36
1500069,2169,256,13:14:35,2023-11-29T13:14:31.414,61.46,21.4
1500028,2170,256,13:14:36,2023-11-29T13:14:32.412,61.46,21.4
1500067,2172,256,13:14:37,2023-11-29T13:14:33.410,61.46,21.36
1500251,2173,256,13:14:39,2023-11-29T13:14:34.415,61.46,21.4
1500422,2174,256,13:14:40,2023-11-29T13:14:35.415,61.46,21.36
1500329,2175,256,13:14:41,2023-11-29T13:14:36.410,61.46,21.4
1500552,2176,256,13:14:42,2023-11-29T13:14:37.413,61.46,21.36
1500552,2178,256,13:14:43,2023-11-29T13:14:38.401,61.46,21.4
