Resistance ,Current ,Voltage,Time
1.30E+02,2.55E+01,2.56E+02,15:14:10
1.30E+02,2.68E+01,2.56E+02,15:14:11
1.30E+02,2.80E+01,2.56E+02,15:14:13
1.30E+02,2.92E+01,2.56E+02,15:14:14
1.30E+02,3.04E+01,2.56E+02,15:14:15
1.30E+02,3.16E+01,2.56E+02,15:14:16
1.30E+02,3.28E+01,2.56E+02,15:14:17
1.30E+02,3.40E+01,2.56E+02,15:14:19
1.30E+02,3.52E+01,2.56E+02,15:14:20
1.30E+02,3.64E+01,2.56E+02,15:14:21
1.30E+02,3.76E+01,2.56E+02,15:14:22
1.30E+02,3.89E+01,2.56E+02,15:14:24
1.30E+02,4.01E+01,2.56E+02,15:14:25
1.30E+02,4.13E+01,2.56E+02,15:14:26
1.30E+02,4.25E+01,2.56E+02,15:14:27
1.30E+02,4.37E+01,2.56E+02,15:14:28
1.30E+02,4.49E+01,2.56E+02,15:14:30
1.30E+02,4.61E+01,2.56E+02,15:14:31
1.30E+02,4.73E+01,2.56E+02,15:14:32
1.30E+02,4.85E+01,2.56E+02,15:14:33
1.30E+02,4.97E+01,2.56E+02,15:14:34
1.30E+02,5.09E+01,2.56E+02,15:14:36
1.30E+02,5.21E+01,2.56E+02,15:14:37
1.30E+02,5.33E+01,2.56E+02,15:14:38
1.31E+02,5.45E+01,2.56E+02,15:14:39
1.31E+02,5.57E+01,2.56E+02,15:14:40
1.31E+02,5.69E+01,2.56E+02,15:14:42
1.31E+02,5.81E+01,2.56E+02,15:14:43
1.31E+02,5.93E+01,2.56E+02,15:14:44
1.31E+02,6.05E+01,2.56E+02,15:14:45
1.31E+02,6.17E+01,2.56E+02,15:14:46
1.31E+02,6.29E+01,2.56E+02,15:14:48
1.31E+02,6.41E+01,2.56E+02,15:14:49
1.31E+02,6.53E+01,2.56E+02,15:14:50
1.31E+02,6.65E+01,2.56E+02,15:14:51
1.31E+02,6.77E+01,2.56E+02,15:14:53
1.31E+02,6.89E+01,2.56E+02,15:14:54
1.31E+02,7.01E+01,2.56E+02,15:14:55
1.31E+02,7.13E+01,2.56E+02,15:14:56
1.31E+02,7.25E+01,2.56E+02,15:14:57
1.31E+02,7.37E+01,2.56E+02,15:14:59
1.31E+02,7.49E+01,2.56E+02,15:15:00
1.31E+02,7.61E+01,2.56E+02,15:15:01
1.31E+02,7.73E+01,2.56E+02,15:15:02
1.31E+02,7.85E+01,2.56E+02,15:15:03
