Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 1060.2
Real Time (s), 1066.16
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.9822000265, 1
2, 1.4417000413, 1
3, 1.9012000561, 0
4, 2.3607000709, 1
5, 2.8202000857000002, 2
6, 3.2797001005, 0
7, 3.7392001153, 2
8, 4.198700130100001, 1
9, 4.6582001449, 1
10, 5.1177001597, 2
11, 5.5772001745, 1
12, 6.036700189299999, 0
13, 6.496200204100001, 0
14, 6.955700218900001, 1
15, 7.4152002337, 0
16, 7.8747002485, 1
17, 8.3342002633, 0
18, 8.7937002781, 1
19, 9.2532002929, 3
20, 9.7127003077, 1
21, 10.1722003225, 1
22, 10.6317003373, 3
23, 11.0912003521, 0
24, 11.5507003669, 1
25, 12.0102003817, 3
26, 12.4697003965, 1
27, 12.9292004113, 1
28, 13.3887004261, 0
29, 13.8482004409, 3
30, 14.307700455700001, 4
31, 14.7672004705, 7
32, 15.2267004853, 6
33, 15.6862005001, 11
34, 16.1457005149, 11
35, 16.6052005297, 17
36, 17.0647005445, 23
37, 17.5242005593, 32
38, 17.983700574100002, 53
39, 18.4432005889, 78
40, 18.9027006037, 85
41, 19.3622006185, 101
42, 19.8217006333, 134
43, 20.2812006481, 133
44, 20.7407006629, 130
45, 21.2002006777, 131
46, 21.6597006925, 111
47, 22.1192007073, 86
48, 22.5787007221, 87
49, 23.038200736900002, 56
50, 23.497700751700002, 46
51, 23.9572007665, 41
52, 24.4167007813, 36
53, 24.8762007961, 29
54, 25.3357008109, 21
55, 25.7952008257, 20
56, 26.2547008405, 16
57, 26.7142008553, 4
58, 27.1737008701, 6
59, 27.633200884900003, 11
60, 28.092700899700002, 7
61, 28.552200914500002, 4
62, 29.0117009293, 4
63, 29.4712009441, 0
64, 29.9307009589, 1
65, 30.3902009737, 3
66, 30.8497009885, 1
67, 31.3092010033, 2
68, 31.7687010181, 2
69, 32.2282010329, 1
70, 32.6877010477, 4
71, 33.1472010625, 0
72, 33.6067010773, 4
73, 34.0662010921, 2
74, 34.5257011069, 1
75, 34.98520112170001, 2
76, 35.44470113650001, 3
77, 35.90420115130001, 3
