Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 896.25
Real Time (s), 901.95
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.9822000265, 1
2, 1.4417000413, 1
3, 1.9012000561, 0
4, 2.3607000709, 0
5, 2.8202000857000002, 0
6, 3.2797001005, 1
7, 3.7392001153, 1
8, 4.198700130100001, 1
9, 4.6582001449, 0
10, 5.1177001597, 1
11, 5.5772001745, 1
12, 6.036700189299999, 2
13, 6.496200204100001, 0
14, 6.955700218900001, 0
15, 7.4152002337, 1
16, 7.8747002485, 0
17, 8.3342002633, 4
18, 8.7937002781, 1
19, 9.2532002929, 3
20, 9.7127003077, 0
21, 10.1722003225, 1
22, 10.6317003373, 0
23, 11.0912003521, 2
24, 11.5507003669, 2
25, 12.0102003817, 0
26, 12.4697003965, 5
27, 12.9292004113, 3
28, 13.3887004261, 3
29, 13.8482004409, 3
30, 14.307700455700001, 2
31, 14.7672004705, 4
32, 15.2267004853, 8
33, 15.6862005001, 6
34, 16.1457005149, 10
35, 16.6052005297, 14
36, 17.0647005445, 19
37, 17.5242005593, 22
38, 17.983700574100002, 58
39, 18.4432005889, 59
40, 18.9027006037, 81
41, 19.3622006185, 96
42, 19.8217006333, 100
43, 20.2812006481, 113
44, 20.7407006629, 92
45, 21.2002006777, 95
46, 21.6597006925, 85
47, 22.1192007073, 69
48, 22.5787007221, 69
49, 23.038200736900002, 52
50, 23.497700751700002, 59
51, 23.9572007665, 31
52, 24.4167007813, 33
53, 24.8762007961, 24
54, 25.3357008109, 16
55, 25.7952008257, 20
56, 26.2547008405, 12
57, 26.7142008553, 9
58, 27.1737008701, 11
59, 27.633200884900003, 9
60, 28.092700899700002, 4
61, 28.552200914500002, 4
62, 29.0117009293, 8
63, 29.4712009441, 5
64, 29.9307009589, 1
65, 30.3902009737, 2
66, 30.8497009885, 5
67, 31.3092010033, 0
68, 31.7687010181, 1
69, 32.2282010329, 1
70, 32.6877010477, 1
71, 33.1472010625, 3
72, 33.6067010773, 2
73, 34.0662010921, 3
74, 34.5257011069, 3
75, 34.98520112170001, 0
76, 35.44470113650001, 2
77, 35.90420115130001, 3
78, 36.36370116610001, 3
