Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 742.6
Real Time (s), 950.4
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.9822000265, 5
2, 1.4417000413, 3
3, 1.9012000561, 2
4, 2.3607000709, 5
5, 2.8202000857000002, 8
6, 3.2797001005, 4
7, 3.7392001153, 0
8, 4.198700130100001, 6
9, 4.6582001449, 1
10, 5.1177001597, 3
11, 5.5772001745, 9
12, 6.036700189299999, 5
13, 6.496200204100001, 3
14, 6.955700218900001, 2
15, 7.4152002337, 4
16, 7.8747002485, 5
17, 8.3342002633, 0
18, 8.7937002781, 5
19, 9.2532002929, 5
20, 9.7127003077, 3
21, 10.1722003225, 6
22, 10.6317003373, 8
23, 11.0912003521, 4
24, 11.5507003669, 2
25, 12.0102003817, 3
26, 12.4697003965, 3
27, 12.9292004113, 7
28, 13.3887004261, 5
29, 13.8482004409, 4
30, 14.307700455700001, 4
31, 14.7672004705, 6
32, 15.2267004853, 4
33, 15.6862005001, 5
34, 16.1457005149, 8
35, 16.6052005297, 7
36, 17.0647005445, 8
37, 17.5242005593, 3
38, 17.983700574100002, 5
39, 18.4432005889, 5
40, 18.9027006037, 6
41, 19.3622006185, 3
42, 19.8217006333, 3
43, 20.2812006481, 3
44, 20.7407006629, 5
45, 21.2002006777, 4
46, 21.6597006925, 2
47, 22.1192007073, 3
48, 22.5787007221, 4
49, 23.038200736900002, 2
50, 23.497700751700002, 2
51, 23.9572007665, 5
52, 24.4167007813, 0
53, 24.8762007961, 4
54, 25.3357008109, 0
55, 25.7952008257, 0
56, 26.2547008405, 0
57, 26.7142008553, 1
58, 27.1737008701, 2
59, 27.633200884900003, 1
60, 28.092700899700002, 4
61, 28.552200914500002, 1
62, 29.0117009293, 1
63, 29.4712009441, 1
64, 29.9307009589, 0
65, 30.3902009737, 1
66, 30.8497009885, 0
67, 31.3092010033, 1
68, 31.7687010181, 0
69, 32.2282010329, 1
70, 32.6877010477, 2
71, 33.1472010625, 0
72, 33.6067010773, 1
73, 34.0662010921, 1
74, 34.5257011069, 5
75, 34.98520112170001, 1
76, 35.44470113650001, 3
77, 35.90420115130001, 1
78, 36.36370116610001, 1
79, 36.82320118090001, 1
80, 37.28270119570001, 0
81, 37.742201210500006, 2
82, 38.201701225300006, 1
83, 38.661201240100006, 0
84, 39.120701254900005, 1
85, 39.580201269700005, 1
86, 40.039701284500005, 2
87, 40.499201299300005, 2
88, 40.958701314100004, 1
89, 41.418201328900004, 1
90, 41.877701343700004, 0
91, 42.3372013585, 0
92, 42.7967013733, 1
93, 43.2562013881, 0
94, 43.7157014029, 2
95, 44.1752014177, 1
96, 44.6347014325, 4
97, 45.09420144730001, 1
98, 45.55370146210001, 0
99, 46.01320147690001, 1
100, 46.47270149170001, 2
101, 46.93220150650001, 2
102, 47.39170152130001, 3
103, 47.85120153610001, 2
104, 48.310701550900006, 1
105, 48.770201565700006, 3
106, 49.229701580500006, 0
107, 49.689201595300005, 2
108, 50.148701610100005, 0
109, 50.608201624900005, 2
110, 51.067701639700005, 1
111, 51.527201654500004, 0
112, 51.986701669300004, 0
113, 52.446201684100004, 1
114, 52.9057016989, 1
115, 53.3652017137, 1
116, 53.8247017285, 0
117, 54.2842017433, 1
118, 54.74370175810001, 1
119, 55.20320177290001, 1
120, 55.66270178770001, 0
121, 56.12220180250001, 1
122, 56.58170181730001, 0
123, 57.04120183210001, 0
124, 57.50070184690001, 1
125, 57.96020186170001, 1
126, 58.41970187650001, 2
127, 58.879201891300006, 0
128, 59.338701906100006, 3
129, 59.798201920900006, 2
130, 60.257701935700005, 1
131, 60.717201950500005, 1
132, 61.176701965300005, 2
133, 61.636201980100005, 7
134, 62.095701994900004, 1
135, 62.555202009700004, 1
136, 63.014702024500004, 0
137, 63.4742020393, 2
138, 63.9337020541, 2
139, 64.39320206890001, 1
140, 64.8527020837, 0
141, 65.3122020985, 1
142, 65.7717021133, 2
143, 66.2312021281, 1
144, 66.6907021429, 1
145, 67.1502021577, 1
146, 67.6097021725, 2
147, 68.0692021873, 1
148, 68.52870220209999, 4
149, 68.98820221689999, 2
150, 69.4477022317, 2
151, 69.9072022465, 3
152, 70.3667022613, 1
153, 70.8262022761, 5
154, 71.2857022909, 4
155, 71.7452023057, 4
156, 72.2047023205, 9
157, 72.6642023353, 8
158, 73.1237023501, 8
159, 73.5832023649, 5
160, 74.0427023797, 11
161, 74.5022023945, 14
162, 74.9617024093, 13
163, 75.4212024241, 17
164, 75.8807024389, 14
165, 76.3402024537, 18
166, 76.7997024685, 26
167, 77.2592024833, 33
168, 77.7187024981, 36
169, 78.1782025129, 35
170, 78.6377025277, 48
171, 79.0972025425, 42
172, 79.5567025573, 60
173, 80.0162025721, 57
174, 80.4757025869, 79
175, 80.9352026017, 103
176, 81.3947026165, 123
177, 81.8542026313, 104
178, 82.3137026461, 138
179, 82.7732026609, 131
180, 83.2327026757, 183
181, 83.6922026905, 217
182, 84.1517027053, 237
183, 84.6112027201, 259
184, 85.0707027349, 329
185, 85.5302027497, 360
186, 85.9897027645, 371
187, 86.4492027793, 471
188, 86.9087027941, 517
189, 87.3682028089, 543
190, 87.8277028237, 618
191, 88.2872028385, 636
192, 88.7467028533, 757
193, 89.20620286810001, 872
194, 89.6657028829, 923
195, 90.1252028977, 970
196, 90.5847029125, 1109
197, 91.0442029273, 1171
198, 91.5037029421, 1280
199, 91.9632029569, 1380
200, 92.4227029717, 1538
201, 92.8822029865, 1519
202, 93.3417030013, 1576
203, 93.8012030161, 1654
204, 94.2607030309, 1794
205, 94.7202030457, 1801
206, 95.1797030605, 1890
207, 95.6392030753, 1906
208, 96.0987030901, 1975
209, 96.5582031049, 2076
210, 97.0177031197, 2049
211, 97.4772031345, 2102
212, 97.9367031493, 2130
213, 98.3962031641, 2208
214, 98.8557031789, 2193
215, 99.3152031937, 2249
216, 99.7747032085, 2307
217, 100.2342032233, 2292
218, 100.6937032381, 2248
219, 101.1532032529, 2258
220, 101.6127032677, 2305
221, 102.0722032825, 2223
222, 102.5317032973, 2325
223, 102.9912033121, 2307
224, 103.4507033269, 2312
225, 103.9102033417, 2314
226, 104.3697033565, 2363
227, 104.8292033713, 2282
228, 105.2887033861, 2319
229, 105.7482034009, 2398
230, 106.2077034157, 2385
231, 106.6672034305, 2375
232, 107.1267034453, 2385
233, 107.5862034601, 2431
234, 108.0457034749, 2311
235, 108.50520348970001, 2395
236, 108.96470350450001, 2428
237, 109.42420351930001, 2423
238, 109.88370353410001, 2488
239, 110.34320354890001, 2411
240, 110.8027035637, 2354
241, 111.2622035785, 2466
242, 111.7217035933, 2400
243, 112.1812036081, 2416
244, 112.6407036229, 2517
245, 113.1002036377, 2415
246, 113.5597036525, 2369
247, 114.0192036673, 2565
248, 114.4787036821, 2417
249, 114.9382036969, 2568
250, 115.3977037117, 2461
251, 115.8572037265, 2499
252, 116.3167037413, 2558
253, 116.7762037561, 2547
254, 117.2357037709, 2472
255, 117.6952037857, 2492
256, 118.1547038005, 2398
257, 118.6142038153, 2466
258, 119.0737038301, 2476
259, 119.5332038449, 2401
260, 119.9927038597, 2491
261, 120.4522038745, 2517
262, 120.9117038893, 2427
263, 121.3712039041, 2489
264, 121.8307039189, 2473
265, 122.2902039337, 2500
266, 122.7497039485, 2509
267, 123.2092039633, 2415
268, 123.6687039781, 2495
269, 124.1282039929, 2530
270, 124.5877040077, 2522
271, 125.0472040225, 2437
272, 125.5067040373, 2468
273, 125.9662040521, 2499
274, 126.4257040669, 2504
275, 126.8852040817, 2416
276, 127.3447040965, 2467
277, 127.8042041113, 2484
278, 128.2637041261, 2482
279, 128.7232041409, 2495
280, 129.1827041557, 2445
281, 129.6422041705, 2568
282, 130.1017041853, 2480
283, 130.5612042001, 2522
284, 131.0207042149, 2523
285, 131.4802042297, 2471
286, 131.9397042445, 2482
287, 132.3992042593, 2495
288, 132.8587042741, 2502
289, 133.3182042889, 2462
290, 133.7777043037, 2492
291, 134.2372043185, 2480
292, 134.6967043333, 2549
293, 135.1562043481, 2467
294, 135.6157043629, 2458
295, 136.0752043777, 2529
296, 136.5347043925, 2504
297, 136.9942044073, 2434
298, 137.4537044221, 2452
299, 137.91320443690003, 2506
300, 138.37270445170003, 2462
301, 138.83220446650003, 2508
302, 139.29170448130003, 2444
303, 139.75120449610003, 2549
304, 140.21070451090003, 2469
305, 140.67020452570003, 2468
306, 141.12970454050003, 2482
307, 141.58920455530003, 2389
308, 142.04870457010003, 2368
309, 142.50820458490003, 2454
310, 142.96770459970003, 2389
311, 143.42720461450003, 2568
312, 143.88670462930003, 2371
313, 144.34620464410003, 2481
314, 144.80570465890003, 2499
315, 145.26520467370003, 2364
316, 145.72470468850003, 2500
317, 146.18420470330003, 2420
318, 146.64370471810003, 2389
319, 147.10320473290002, 2452
320, 147.56270474770002, 2339
321, 148.02220476250002, 2356
322, 148.48170477730002, 2493
323, 148.94120479210002, 2289
324, 149.40070480690002, 2463
325, 149.86020482170002, 2407
326, 150.31970483650002, 2392
327, 150.77920485130002, 2377
328, 151.23870486610002, 2435
329, 151.69820488090002, 2381
330, 152.15770489570002, 2414
331, 152.61720491050002, 2393
332, 153.07670492530002, 2324
333, 153.53620494010002, 2505
334, 153.99570495490002, 2356
335, 154.45520496970002, 2383
336, 154.91470498450002, 2457
337, 155.37420499930002, 2399
338, 155.83370501410002, 2467
339, 156.29320502890002, 2386
340, 156.75270504370002, 2333
341, 157.21220505850002, 2464
342, 157.67170507330002, 2435
343, 158.13120508810002, 2346
344, 158.59070510290002, 2416
345, 159.05020511770002, 2436
346, 159.50970513250002, 2409
347, 159.96920514730002, 2360
348, 160.42870516210002, 2407
349, 160.88820517690002, 2291
350, 161.34770519170002, 2292
351, 161.80720520650002, 2433
352, 162.26670522130001, 2411
353, 162.72620523610001, 2304
354, 163.1857052509, 2356
355, 163.6452052657, 2432
356, 164.1047052805, 2389
357, 164.5642052953, 2380
358, 165.0237053101, 2386
359, 165.4832053249, 2306
360, 165.9427053397, 2473
361, 166.4022053545, 2352
362, 166.8617053693, 2430
363, 167.3212053841, 2447
364, 167.7807053989, 2365
365, 168.2402054137, 2334
366, 168.6997054285, 2317
367, 169.1592054433, 2273
