time, value
0.071, 13.546875
0.141, 11.8984375
0.221, 11.859375
0.291, 11.8046875
0.371, 13.8125
0.441, 11.6796875
0.521, 11.7421875
0.591, 10.5234375
0.671, 13.6328125
0.741, 10.1328125
0.821, 12.8671875
0.891, 12.3359375
0.971, 11.7109375
1.041, 12.0234375
1.121, 10.9453125
1.191, 12.265625
1.271, 13.859375
1.341, 13.078125
1.421, 9.796875
1.491, 12.0078125
1.571, 14.09375
1.641, 12.875
1.721, 13
1.791, 11.90625
1.871, 10.25
1.941, 13.4453125
2.021, 11.1328125
2.091, 12.125
2.171, 11.5859375
2.241, 12.234375
2.321, 12.2421875
2.391, 13.8203125
2.471, 11.4296875
2.541, 12.53125
2.621, 12.6875
2.691, 13.046875
2.771, 11.015625
2.841, 12.7578125
2.921, 12.5390625
2.991, 12.078125
3.071, 12.265625
3.141, 12.203125
3.221, 10.71875
3.291, 11.65625
3.371, 12.71875
3.441, 14.015625
3.521, 11.2265625
3.591, 12.7890625
3.671, 10.9765625
3.741, 11.8359375
3.821, 13.140625
3.891, 10.421875
3.971, 14.3671875
4.041, 11.9921875
4.121, 11.90625
4.191, 11.6796875
4.271, 11.984375
4.341, 12.90625
4.421, 10.984375
4.491, 11.640625
4.571, 12.1875
4.641, 10.4609375
4.721, 12.125
4.791, 10.015625
4.871, 12.9921875
4.941, 12.1171875
5.021, 10.890625
5.091, 13.2578125
5.171, 9.0859375
5.241, 10.8828125
5.321, 10.734375
5.391, 13.0625
5.471, 10.828125
5.541, 14.1015625
5.621, 12.421875
5.691, 12.53125
5.771, 12.546875
5.841, 12.3515625
5.921, 12.75
5.991, 10.8125
6.071, 11.6796875
6.141, 12.375
6.221, 12.125
6.291, 11.5546875
6.371, 12.328125
6.441, 11.390625
6.521, 11.2890625
6.591, 11.3515625
6.671, 11.6796875
6.741, 14
6.821, 11.4296875
6.891, 12.6328125
6.971, 11.921875
7.041, 10.5390625
7.121, 11.703125
7.191, 10.21875
7.271, 11.8671875
7.341, 12.9921875
7.421, 12.546875
7.491, 11.203125
7.571, 12.5
7.641, 9.671875
7.721, 12.7421875
7.791, 13.7265625
7.871, 9.8046875
7.941, 11.75
8.021, 13.953125
8.091, 12.5078125
8.171, 12.78125
8.241, 13.0859375
8.321, 13.2109375
8.391, 11.53125
8.471, 11.078125
8.541, 11.4609375
8.621, 12.4375
8.691, 10.9609375
8.771, 11.0625
8.841, 11.03125
8.921, 12.3046875
8.991, 10.9921875
9.071, 13.25
9.141, 12.0703125
9.221, 11.7890625
9.291, 12.5078125
9.371, 11.125
9.441, 12.6953125
9.521, 12.2890625
9.591, 11.828125
9.671, 11.90625
9.741, 10.5546875
9.821, 11.734375
9.891, 10.8046875
9.971, 11.71875
10.041, 10.0859375
10.121, 13.0390625
10.191, 12.6953125
10.271, 12.640625
10.341, 11.28125
10.421, 11.546875
10.491, 12.1640625
10.571, 10.6953125
10.641, 11.078125
10.721, 11.890625
10.791, 13.0703125
10.871, 11.0625
10.941, 10.03125
11.021, 12.6875
11.091, 11.140625
11.171, 11.640625
11.241, 13.203125
11.321, 12.3828125
11.391, 12.84375
11.471, 11.5546875
11.541, 12.375
11.621, 12.171875
11.691, 13.9375
11.771, 10.25
11.841, 11.9609375
11.921, 12.21875
11.991, 10.84375
12.071, 12.1640625
12.141, 10.7578125
12.221, 12.703125
12.291, 13.1953125
12.371, 12.5078125
12.441, 12.65625
12.521, 13.5078125
12.591, 12.609375
12.671, 14.859375
12.741, 12.4609375
12.821, 13.0859375
12.891, 12.453125
12.971, 12.265625
13.041, 10.9140625
13.121, 12.2265625
13.191, 12.9921875
13.271, 12.0078125
13.341, 13.2890625
13.421, 12.640625
13.491, 13.1015625
