time, value
0.04, 0.7311365604
0.08, 0.79945755
0.12, 0.9452769756
0.16, 0.8800151348
0.2, 0.79945755
0.24, 0.8881728649
0.28, 0.8657391071
0.319, 0.8443250656
0.359, 0.8881728649
0.399, 0.9891247749
0.439, 0.9850459099
0.479, 0.931000948
0.519, 0.8657391071
0.559, 0.8514630795
0.599, 0.9065277576
0.639, 0.9208037853
0.679, 0.8636996746
0.719, 0.8361673355
0.759, 0.8106744289
0.799, 0.8198518753
0.838, 0.8789954185
0.878, 0.9228432178
0.918, 0.8953108788
0.958, 0.8565616608
0.998, 0.8647193909
1.038, 0.8983700275
1.078, 0.8749165535
1.118, 0.8473842144
1.158, 0.8463644981
1.198, 0.857581377
1.238, 0.838206768
1.278, 0.8392264843
1.318, 0.8596208096
1.358, 0.8657391071
1.397, 0.8708376884
1.437, 0.8698179722
1.477, 0.8269898891
1.517, 0.8208715916
1.557, 0.8392264843
1.597, 0.8667588234
1.637, 0.8636996746
1.677, 0.8371870518
1.717, 0.8361673355
1.757, 0.8484039307
1.797, 0.8545222282
1.837, 0.8524827957
1.877, 0.8657391071
1.917, 0.853502512
1.956, 0.8504433632
1.996, 0.8473842144
2.036, 0.8239307404
2.076, 0.8259701729
2.116, 0.8902122974
2.156, 0.8687982559
2.196, 0.8371870518
2.236, 0.8606405258
2.276, 0.8565616608
2.316, 0.8555419445
2.356, 0.8586010933
2.396, 0.8840939999
2.436, 0.8820545673
2.475, 0.8524827957
2.515, 0.8596208096
2.555, 0.8820545673
2.595, 0.8738968372
2.635, 0.8657391071
2.675, 0.8586010933
2.715, 0.8891925812
2.755, 0.8137335777
2.795, 0.9911642075
2.835, 0.8249504566
2.875, 0.8871531487
2.915, 0.8902122974
2.955, 0.8555419445
2.995, 0.8779757023
3.034, 0.911626339
3.074, 0.8942911625
3.114, 0.911626339
3.154, 0.8779757023
3.194, 0.8667588234
3.234, 0.9044883251
3.274, 0.8779757023
3.314, 0.9044883251
3.354, 0.8932714462
3.394, 0.9177446365
3.434, 0.8789954185
3.474, 0.8789954185
3.514, 0.8718574047
3.553, 0.876955986
3.593, 0.9085671902
3.633, 0.9248826504
3.673, 0.9218235016
3.713, 0.9146854877
3.753, 0.89225173
3.793, 0.8891925812
3.833, 0.8973503113
3.873, 0.8820545673
3.913, 0.8902122974
3.953, 0.9126460552
3.993, 0.9126460552
4.033, 0.8993897438
4.072, 0.8953108788
4.112, 0.9014291763
