time, value
0.04, 0.09177446365
0.08, 0.1549968719
0.12, 0.1233856678
0.16, -0.004078865051
0.2, -0.09687304497
0.24, 0.02141404152
0.28, 0.0275323391
0.319, -0.01733517647
0.359, -0.003059148788
0.399, -0.05914354324
0.439, -0.07851815224
0.479, -0.07545900345
0.519, -0.08871531487
0.559, -0.05812382698
0.599, -0.04996609688
0.639, -0.05914354324
0.679, -0.07239985466
0.719, -0.1172673702
0.759, -0.1274645329
0.799, -0.09993219376
0.838, -0.06220269203
0.878, -0.0713801384
0.918, -0.07341957092
0.958, -0.10095191
0.998, -0.08259701729
1.038, -0.07545900345
1.078, -0.05812382698
1.118, -0.07443928719
1.158, -0.08361673355
1.198, -0.09381389618
1.238, -0.1111490726
1.278, -0.1131885052
1.318, -0.08973503113
1.358, -0.08259701729
1.397, -0.07647871971
1.437, -0.08259701729
1.477, -0.09789276123
1.517, -0.1152279377
1.557, -0.1193068027
1.597, -0.1029913425
1.637, -0.08871531487
1.677, -0.09381389618
1.717, -0.1070702076
1.757, -0.1182870865
1.797, -0.09993219376
1.837, -0.0958533287
1.877, -0.08871531487
1.917, -0.09687304497
1.956, -0.116247654
1.996, -0.1019716263
2.036, -0.0876955986
2.076, -0.08871531487
2.116, -0.0795378685
2.156, -0.1254251003
2.196, -0.1417405605
2.236, -0.09483361244
2.276, -0.05812382698
2.316, -0.07239985466
2.356, -0.07341957092
2.396, -0.04792666435
2.436, -0.06016325951
2.475, -0.07545900345
2.515, -0.07851815224
2.555, -0.06220269203
2.595, -0.06934070587
2.635, -0.06832098961
2.675, -0.1080899239
2.715, -0.06118297577
2.755, 0.03059148788
2.795, -0.1264448166
2.835, -0.08565616608
2.875, -0.06526184082
2.915, -0.04690694809
2.955, -0.06832098961
2.995, -0.08871531487
3.034, -0.1019716263
3.074, -0.09993219376
3.114, -0.09381389618
3.154, -0.04486751556
3.194, -0.02549290657
3.234, -0.03976893425
3.274, -0.05914354324
3.314, -0.03772950172
3.354, -0.06118297577
3.394, -0.0520055294
3.434, -0.06220269203
3.474, -0.03365063667
3.514, -0.0275323391
3.553, -0.02039432526
3.593, -0.0275323391
3.633, -0.05506467819
3.673, -0.07443928719
3.713, -0.06526184082
3.753, -0.04894638062
3.793, -0.03467035294
3.833, -0.05302524567
3.873, -0.08361673355
3.913, -0.07341957092
3.953, -0.05812382698
3.993, -0.06424212456
4.033, -0.07545900345
4.072, -0.05914354324
4.112, -0.06118297577
4.152, -0.1264448166
4.192, -0.08871531487
4.232, -0.06628155708
4.272, -0.05098581314
4.312, -0.04588723183
4.352, -0.05404496193
4.392, -0.04996609688
4.432, -0.05914354324
4.472, -0.07239985466
4.512, -0.0713801384
4.552, -0.07036042213
4.591, -0.06118297577
4.631, -0.06832098961
4.671, -0.08463644981
4.711, -0.08259701729
4.751, -0.06322240829
4.791, -0.05506467819
4.831, -0.02651262283
4.871, -0.01835489273
4.911, -0.04792666435
4.951, -0.06934070587
4.991, -0.07545900345
5.031, -0.06832098961
5.071, 0.03670978546
5.11, 0.01529574394
5.15, -0.02855205536
5.19, -0.03161120415
5.23, -0.04588723183
5.27, -0.02243375778
5.31, -0.01427602768
5.35, -0.02447319031
5.39, -0.01223659515
5.43, -0.02243375778
5.47, -0.0275323391
5.51, -0.0275323391
5.55, -0.03467035294
5.59, -0.0356900692
5.63, -0.05710411072
5.669, 0.004078865051
5.709, 0.02957177162
5.749, -0.0520055294
5.789, -0.07749843597
5.829, -0.04180836678
5.869, -0.02039432526
5.909, -0.03874921799
5.949, -0.05608439445
5.989, -0.05302524567
6.029, -0.03772950172
6.069, -0.02243375778
6.109, -0.05812382698
6.149, -0.04180836678
6.188, -0.03976893425
6.228, -0.02855205536
6.268, -0.03263092041
6.308, -0.02243375778
6.348, -0.06730127335
6.388, -0.08463644981
6.428, -0.1019716263
6.468, -0.02549290657
6.508, -0.04078865051
6.548, -0.08565616608
6.588, -0.1060504913
6.628, -0.08463644981
6.668, -0.0795378685
6.708, -0.06016325951
6.747, -0.0520055294
6.787, -0.06934070587
6.827, -0.09177446365
6.867, -0.08565616608
6.907, -0.0275323391
6.947, -0.03467035294
6.987, -0.01427602768
7.027, -0.0795378685
7.067, -0.009177446365
7.107, 0.009177446365
7.147, 0.01835489273
7.187, -0.08361673355
7.227, 0.05608439445
7.267, 0.06424212456
7.306, -0.05404496193
7.346, -0.05302524567
7.386, -0.01835489273
7.426, -0.05914354324
7.466, -0.05302524567
7.506, -0.0438477993
7.546, -0.04792666435
7.586, -0.06526184082
7.626, -0.0713801384
7.666, -0.06832098961
7.706, -0.03467035294
7.746, -0.01325631142
7.786, -0.02549290657
7.826, -0.04180836678
7.865, -0.006118297577
7.905, -0.009177446365
7.945, -0.01733517647
7.985, 0.01223659515
8.025, -0.002039432526
8.065, -0.03874921799
8.105, -0.04486751556
8.145, -0.03059148788
8.185, -0.02447319031
8.225, -0.02243375778
8.265, -0.02651262283
8.305, -0.01427602768
8.345, -0.01937460899
8.385, -0.01733517647
8.424, -0.00713801384
8.464, -0.01325631142
8.504, -0.01019716263
8.544, -0.01835489273
8.584, -0.01223659515
8.624, -0.01223659515
8.664, -0.01733517647
8.704, -0.02651262283
8.744, -0.03365063667
8.784, -0.03874921799
