time, value
0.04, 0.6862690449
0.08, 0.578179121
0.12, 0.415024519
0.16, 0.4017682076
0.2, 0.4619314671
0.24, 0.4670300484
0.28, 0.4425568581
0.319, 0.5129172802
0.359, 0.612849474
0.399, 0.6781113148
0.439, 0.713801384
0.479, 0.6210072041
0.519, 0.500680685
0.559, 0.481306076
0.599, 0.5363707542
0.639, 0.5822579861
0.679, 0.6271255016
0.719, 0.6424212456
0.759, 0.640381813
0.799, 0.6057114601
0.838, 0.5944945812
0.878, 0.5822579861
0.918, 0.5659425259
0.958, 0.5904157162
0.998, 0.6159086227
1.038, 0.6291649342
1.078, 0.6159086227
1.118, 0.6210072041
1.158, 0.6220269203
1.198, 0.6301846504
1.238, 0.6495592594
1.278, 0.6332437992
1.318, 0.6138691902
1.358, 0.6077508926
1.397, 0.6271255016
1.437, 0.6352832317
1.477, 0.6322240829
1.517, 0.6312043667
1.557, 0.6301846504
1.597, 0.6465001106
1.637, 0.6526184082
1.677, 0.6199874878
1.717, 0.6036720276
1.757, 0.6414015293
1.797, 0.6526184082
1.837, 0.6434409618
1.877, 0.6261057854
1.917, 0.5883762836
1.956, 0.6271255016
1.996, 0.6301846504
2.036, 0.59755373
2.076, 0.6199874878
2.116, 0.6607761383
2.156, 0.6770915985
2.196, 0.6393620968
2.236, 0.6210072041
2.276, 0.5618636608
2.316, 0.5822579861
2.356, 0.6261057854
2.396, 0.6230466366
2.436, 0.6373226643
2.475, 0.6138691902
2.515, 0.5995931625
2.555, 0.5924551487
2.595, 0.593474865
2.635, 0.5995931625
2.675, 0.6159086227
2.715, 0.6118297577
2.755, 0.5955142975
2.795, 0.6067311764
2.835, 0.5853171349
2.875, 0.5322918892
2.915, 0.5679819584
2.955, 0.5914354324
2.995, 0.59755373
3.034, 0.6220269203
3.074, 0.6036720276
3.114, 0.5251538754
3.154, 0.5251538754
3.194, 0.5506467819
3.234, 0.5761396885
3.274, 0.5985734463
3.314, 0.5842974186
3.354, 0.6057114601
3.394, 0.616928339
3.434, 0.5659425259
3.474, 0.4874243736
3.514, 0.4802863598
3.553, 0.5067989826
3.593, 0.5639030933
3.633, 0.6179480553
3.673, 0.6312043667
3.713, 0.5965340137
3.753, 0.5292327404
3.793, 0.5139369965
3.833, 0.5231144428
3.873, 0.5455482006
3.913, 0.5475876331
3.953, 0.558804512
3.993, 0.5679819584
4.033, 0.5822579861
4.072, 0.5557453632
4.112, 0.5577847958
4.152, 0.6087706089
4.192, 0.5088384151
4.232, 0.4986412525
4.272, 0.5618636608
4.312, 0.5893959999
4.352, 0.6046917439
4.392, 0.5384101868
4.432, 0.5241341591
4.472, 0.5333116055
4.512, 0.539429903
4.552, 0.5710411072
4.591, 0.5424890518
4.631, 0.5516664982
4.671, 0.578179121
4.711, 0.5771594048
4.751, 0.4884440899
4.791, 0.49660182
4.831, 0.5649228096
4.871, 0.554725647
4.911, 0.5414693356
4.951, 0.5129172802
4.991, 0.5506467819
5.031, 0.5822579861
5.071, 0.4976215363
5.11, 0.5057792664
5.15, 0.4476554394
5.19, 0.500680685
5.23, 0.5129172802
5.27, 0.5220947266
5.31, 0.5404496193
5.35, 0.5373904705
5.39, 0.4996609688
5.43, 0.4690694809
5.47, 0.4823257923
5.51, 0.5078186989
5.55, 0.5118975639
5.59, 0.4853849411
5.63, 0.5129172802
5.669, 0.5180158615
5.709, 0.4690694809
5.749, 0.4201231003
5.789, 0.4935426712
5.829, 0.4476554394
5.869, 0.4955821037
5.909, 0.4792666435
5.949, 0.5251538754
5.989, 0.4068667889
6.029, 0.3436443806
6.069, 0.3354866505
6.109, 0.2386136055
6.149, 0.298776865
6.188, 0.2324953079
6.228, 0.2151601315
6.268, 0.1662137508
6.308, 0.1284842491
6.348, 0.02345347404
6.388, 0.03161120415
6.428, -0.04282808304
6.468, -0.1549968719
6.508, -0.1988446712
6.548, -0.1580560207
6.588, -0.2437121868
6.628, -0.3446640968
6.668, -0.3834133148
6.708, -0.4639708996
6.747, -0.4853849411
6.787, -0.5598242283
6.827, -0.5231144428
6.867, -0.5373904705
6.907, -0.5118975639
6.947, -0.6087706089
6.987, -0.6067311764
7.027, -0.6475198269
7.067, -0.6322240829
7.107, -0.6271255016
7.147, -0.7188999653
7.187, -0.7933392525
7.227, -0.7148211002
7.267, -0.7352154255
7.306, -0.7209393978
7.346, -0.756629467
7.386, -0.7770237923
7.426, -0.8086349964
7.466, -0.7637674809
7.506, -0.7841618061
7.546, -0.8392264843
7.586, -0.8392264843
7.626, -0.8167927265
7.666, -0.8371870518
7.706, -0.8555419445
7.746, -0.8606405258
7.786, -0.8443250656
7.826, -0.8361673355
7.865, -0.8310687542
7.905, -0.8351476192
7.945, -0.818832159
7.985, -0.8280096054
8.025, -0.8718574047
8.065, -0.8290293217
8.105, -0.8269898891
8.145, -0.8433053493
8.185, -0.8218913078
8.225, -0.8280096054
8.265, -0.8320884705
8.305, -0.834127903
8.345, -0.8137335777
8.385, -0.8259701729
8.424, -0.8300490379
8.464, -0.8229110241
8.504, -0.8157730103
8.544, -0.8086349964
8.584, -0.8167927265
8.624, -0.8239307404
8.664, -0.8198518753
8.704, -0.8096547127
8.744, -0.8218913078
8.784, -0.8086349964
8.824, -0.8218913078
8.864, -0.8392264843
8.904, -0.834127903
8.944, -0.8259701729
8.983, -0.8045561314
9.023, -0.7790632248
9.063, -0.8025166988
9.103, -0.8045561314
9.143, -0.7974181175
9.183, -0.814753294
9.223, -0.8045561314
9.263, -0.771925211
9.303, -0.7923195362
9.343, -0.795378685
9.383, -0.7749843597
9.423, -0.6832098961
9.463, -0.8239307404
9.503, -0.7637674809
9.542, -0.7076830864
9.582, -0.6730127335
9.622, -0.6108100414
9.662, -0.6414015293
9.702, -0.6046917439
9.742, -0.5822579861
9.782, -0.5322918892
9.822, -0.477227211
9.862, -0.477227211
9.902, -0.4180836678
9.942, -0.3518021107
9.982, -0.2997965813
10.022, -0.2875599861
10.062, -0.1947658062
10.102, -0.1519377232
10.141, -0.1376616955
10.181, -0.09687304497
10.221, -0.0713801384
10.261, -0.03772950172
10.301, 0.006118297577
10.341, 0.05914354324
10.381, 0.02447319031
10.421, 0.0438477993
10.461, 0.08667588234
10.501, 0.1091096401
10.541, 0.1305236816
10.581, 0.1753911972
10.621, 0.1937460899
10.661, 0.2671656609
10.7, 0.2049629688
10.74, 0.1600954533
