time, value
0.04, 44.06999969
0.08, 87.93999481
0.12, 105.7200012
0.16, 66.80999756
0.2, 11.27999973
0.24, 13.21999931
0.28, 9.699999809
0.319, -19.69999886
0.359, -11.28999996
0.399, 3.879999876
0.439, 3.980000019
0.479, 21.15999985
0.519, 18.43000031
0.559, -0.4499999881
0.599, -11.73999977
0.639, -21.90999985
0.679, -14
0.719, -3.75
0.759, 4.630000114
0.799, 15.21000004
0.838, 20.80999947
0.878, 13.44999981
0.918, -1.110000014
0.958, -7.399999619
0.998, -9.369999886
1.038, -6.579999924
1.078, -3.829999924
1.118, -2.639999866
1.158, 2.950000048
1.198, 3.589999914
1.238, 1.639999986
1.278, 6.019999981
1.318, 5.599999905
1.358, -1.350000024
1.397, -4.369999886
1.437, -2.359999895
1.477, -4.25
1.517, -6.139999866
1.557, -5.159999847
1.597, -7.5
1.637, -3.49000001
1.677, -1.839999914
1.717, -3.980000019
1.757, -7.259999752
1.797, -2.879999876
1.837, 1.889999986
1.877, 4.029999733
1.917, 0.9300000072
1.956, -7.539999962
1.996, -5.519999981
2.036, -7.329999924
2.076, -11.13000011
2.116, -4.960000038
2.156, -2.220000029
2.196, -2.190000057
2.236, -1.569999933
2.276, -3.089999914
2.316, -20.04999924
2.356, -19.79999924
2.396, -6.889999866
2.436, -4.029999733
2.475, 1.9799999
2.515, 5.839999676
2.555, 8.909999847
2.595, 8.079999924
2.635, 10.13999939
2.675, 10.10999966
2.715, 13.25
2.755, 12.28999996
2.795, 20.62999916
2.835, 15.17000008
2.875, -2.349999905
2.915, -11.64999962
2.955, -9.800000191
2.995, -4.519999981
3.034, -3.129999876
3.074, -2.789999962
3.114, -0.08999999613
3.154, -6.639999866
3.194, -6.299999714
3.234, -1.309999943
3.274, 5.989999771
3.314, 18.47999954
3.354, 18.01000023
3.394, 25.69999886
3.434, 23.25
3.474, 16.63999939
3.514, 3.869999886
3.553, -10.48999977
3.593, -13.97999954
3.633, -8.859999657
3.673, -1.220000029
3.713, 9.369999886
3.753, 10
3.793, 5.21999979
3.833, 0.5500000119
3.873, -5.900000095
3.913, -4.46999979
3.953, -4.230000019
3.993, -2.819999933
4.033, 1.429999948
4.072, 8.029999733
4.112, 6.359999657
4.152, -3.359999895
4.192, 5.659999847
4.232, -7.079999924
4.272, -14.38999939
4.312, -9.109999657
4.352, 3.069999933
4.392, 8.739999771
4.432, 8.229999542
4.472, 5.829999924
4.512, 0.1499999911
4.552, 3.079999924
4.591, 3.289999962
4.631, 1.100000024
4.671, 2.809999943
4.711, 12.84000015
4.751, -2.50999999
4.791, -9.43999958
4.831, -1.829999924
4.871, 4.099999905
4.911, 5.989999771
4.951, 4.730000019
4.991, 1.909999967
5.031, 8.239999771
5.071, 8.609999657
5.11, 4.619999886
5.15, -8.050000191
5.19, -11.0199995
5.23, -2.950000048
5.27, -7.309999943
5.31, -6.440000057
5.35, 1.090000033
5.39, 3.75999999
5.43, 1.279999971
5.47, -1.139999986
5.51, -2.409999847
5.55, -1.9799999
5.59, -3.089999914
5.63, -5.389999866
5.669, -1.449999928
5.709, 5.170000076
5.749, -2.019999981
5.789, -8.899999619
5.829, 1.24000001
5.869, -1.319999933
5.909, 4.46999979
5.949, 8.729999542
5.989, 18.36999893
6.029, 14.11999989
6.069, 5.279999733
6.109, 2.289999962
6.149, -3.439999819
6.188, -2.690000057
6.228, -3.289999962
6.268, -8.38999939
6.308, -13.42999935
6.348, -10.85999966
6.388, -6.849999905
6.428, 10.38000011
6.468, 14.07999992
6.508, 1.370000005
6.548, -17.17000008
6.588, -6.059999943
6.628, 5.420000076
6.668, 13.27999973
6.708, 14.38000011
6.747, -5.869999886
6.787, -19.30999947
6.827, -39.52999878
6.867, -34.63999939
6.907, -19.65999985
6.947, -19.52000046
6.987, -13.07999992
7.027, -28.48999977
7.067, -26.42000008
7.107, 0.5399999619
7.147, 7.21999979
7.187, -13.82999992
7.227, -15.46999931
7.267, -8.289999962
7.306, 3.089999914
7.346, 8.619999886
7.386, 0.3199999928
7.426, -1.00999999
7.466, 10.34000015
7.506, 10.10999966
7.546, 1
7.586, 2.200000048
7.626, 4.319999695
7.666, 2.919999838
7.706, -4.099999905
7.746, -8.840000153
7.786, -9.649999619
7.826, -8.210000038
7.865, -5.029999733
7.905, -6.019999981
7.945, -1.079999924
7.985, 7.599999905
8.025, 4.799999714
8.065, -1.889999986
8.105, 3.849999905
8.145, 0.6699999571
8.185, -2.269999981
8.225, 0.2999999821
8.265, -0.2800000012
8.305, -4.360000134
8.345, -2.690000057
8.385, 0.3199999928
8.424, -0.6299999952
8.464, -2.049999952
8.504, 0.09999999404
8.544, 1.169999957
8.584, 1.209999919
8.624, 1.839999914
8.664, 1.25999999
8.704, 0.8700000048
8.744, -0.6100000143
8.784, -1.449999928
8.824, 0.7099999785
8.864, 0.7899999619
8.904, -0.6200000048
8.944, -0.5399999619
8.983, -5.489999771
9.023, -6.980000019
9.063, 1.629999995
9.103, 1.74000001
9.143, -0.7400000095
9.183, 0.2999999821
9.223, -0.25
9.263, -1.029999971
9.303, 3.9599998
9.343, 1.929999948
9.383, -0.8700000048
9.423, 12.36999989
9.463, 29.52999878
9.503, 7.230000019
9.542, -8.559999466
9.582, -5.210000038
9.622, -6.210000038
9.662, -1.279999971
9.702, -1.439999938
9.742, 1.819999933
9.782, 6.909999847
9.822, 17.26000023
9.862, 17.8599987
9.902, 10.67999935
9.942, 8.729999542
9.982, 8.349999428
10.022, 10.80999947
10.062, -3.139999866
10.102, -0.8799999952
10.141, 1.689999938
10.181, -2.789999962
10.221, -0.4099999964
10.261, -1.919999957
10.301, -2.970000029
10.341, 6.019999981
10.381, 5.170000076
10.421, -4.769999981
10.461, -2.769999981
10.501, 2.879999876
10.541, 2.909999847
10.581, 1.169999957
10.621, 5.199999809
10.661, 4.119999886
10.7, 15.68999958
10.74, -1.209999919
10.78, -3.339999914
10.82, -10.52999973
10.86, -18.26000023
10.9, -3
10.94, 4.489999771
10.98, 6.170000076
11.02, 0.8100000024
11.06, 3.25
11.1, 9.109999657
11.14, 1.399999976
11.18, -5.710000038
11.219, -7.96999979
11.259, -4.989999771
11.299, -3.75
11.339, -1.639999986
11.379, -6.670000076
11.419, -4.380000114
11.459, -4.789999962
11.499, -9.130000114
11.539, -9.779999733
11.579, -6.589999676
11.619, -3
11.659, -4.339999676
