time, value
0.04, -2.349999905
0.08, 0.7400000095
0.12, -16.09000015
0.16, -17.28999901
0.2, 51.80999756
0.24, 60.98999786
0.28, 21.37999916
0.32, 44.20999908
0.36, 56.69999695
0.399, 7.480000019
0.439, 14.7699995
0.479, 4.589999676
0.519, 5.109999657
0.559, 13.17000008
0.599, 15.94999981
0.639, 1.279999971
0.679, -12.56999969
0.719, -12.65999985
0.759, -7.619999886
0.799, 1.629999995
0.839, 5.190000057
0.879, 14.02999973
0.918, 6.589999676
0.958, 3.199999809
0.998, 9.279999733
1.038, 7.129999638
1.078, 0.7599999905
1.118, -1.649999976
1.158, -1.25999999
1.198, -2.720000029
1.238, 0.8299999833
1.278, 1.139999986
1.318, 2.039999962
1.358, 0.3199999928
1.398, 1.789999962
1.438, -3.449999809
1.477, -5.789999962
1.517, 0.7599999905
1.557, 6.21999979
1.597, 11.17000008
1.637, 4.710000038
1.677, 3.659999847
1.717, 1.069999933
1.757, 2.089999914
1.797, 0.4099999964
1.837, -5.679999828
1.877, -5.699999809
1.917, -11.09000015
1.957, -8.649999619
1.997, -9.399999619
2.036, -9.090000153
2.076, -3.970000029
2.116, -4.380000114
2.156, -15.59999943
2.196, -10.23999977
2.236, -2.769999981
2.276, -8.359999657
2.316, -3.809999943
2.356, 2.579999924
2.396, -0.5600000024
2.436, 2.109999895
2.476, 0.4399999976
2.516, 0.8599999547
2.555, 1.299999952
2.595, -1.839999914
2.635, -2.210000038
2.675, 2.929999828
2.715, -0.6100000143
2.755, -9.13999939
2.795, -16.30999947
2.835, 1.269999981
2.875, 13.7699995
2.915, 10.89999962
2.955, 19.28999901
2.995, 23.51999855
3.035, 16.88999939
3.074, -2.129999876
3.114, -12.15999985
3.154, -18.93999863
3.194, -19.68999863
3.234, -17.68000031
3.274, -8.679999352
3.314, -2.74000001
3.354, 13.88999939
3.394, -2
3.434, 0.2399999946
3.474, 9.269999504
3.514, 3.429999828
3.554, 12.55999947
3.593, 14.06999969
3.633, 8.289999962
3.673, 8.399999619
3.713, 5.170000076
3.753, 2.99000001
3.793, 4.739999771
3.833, 0.6499999762
3.873, 2.639999866
3.913, 5.71999979
3.953, 5.309999943
3.993, 0.4299999774
4.033, -0.4599999785
4.073, -2.049999952
4.113, -6.659999847
4.152, -5.069999695
4.192, -0.3700000048
4.232, 9.609999657
4.272, 10.80000019
4.312, 10.05999947
4.352, -0.03999999911
4.392, -8.859999657
4.432, -7.170000076
4.472, -4.259999752
4.512, -1.419999957
4.552, -3.299999952
4.592, 0.719999969
4.631, -0.1299999952
4.671, -0.5899999738
4.711, -2.359999895
4.751, 4.150000095
4.791, 6.559999943
4.831, -1.5
4.871, -5.46999979
4.911, -4.989999771
4.951, -5.190000057
4.991, -14.63999939
5.031, -6.670000076
5.071, 5.230000019
5.111, -22.88999939
5.151, -0.5600000024
5.19, 0.03999999911
5.23, -0.6699999571
5.27, 11.07999992
5.31, 4.409999847
5.35, 2.289999962
5.39, -0.02999999933
5.43, -4.099999905
5.47, -1.809999943
5.51, -3.369999886
5.55, -0.4299999774
5.59, 3.25999999
5.63, 7.949999809
5.67, -1.370000005
5.71, -5.339999676
5.749, -1.100000024
5.789, 7.929999828
5.829, 5.75
5.869, -3.629999876
5.909, -0.5699999928
5.949, 0.8599999547
5.989, 2.929999828
6.029, 5.609999657
6.069, 9.170000076
6.109, 1.529999971
6.149, 3.819999933
