time, value
0.04, -128.8600006
0.08, -130.7899933
0.12, -130.6100006
0.16, -128.2200012
0.2, -130.5800018
0.24, -131.6699982
0.28, -126.8600006
0.32, -121.8099976
0.36, -113.8999939
0.399, -114.4300003
0.439, -112.1499939
0.479, -104.1999969
0.519, -105.8600006
0.559, -104.8799973
0.599, -104.6299973
0.639, -108.3399963
0.679, -109.4499969
0.719, -108.6899948
0.759, -111.5400009
0.799, -111.3600006
0.839, -105.5599976
0.879, -109.8899994
0.918, -99.41999817
0.958, -102.2799988
0.998, -100.4599991
1.038, -100.3600006
1.078, -102.5
1.118, -100.0400009
1.158, -96.91999817
1.198, -102.3699951
1.238, -100.8499985
1.278, -93.90999603
1.318, -97.04999542
1.358, -98.33999634
1.398, -93.05999756
1.438, -98.18000031
1.477, -99.22000122
1.517, -100.8899994
1.557, -98.47000122
1.597, -98.27999878
1.637, -97.79999542
1.677, -96.62999725
1.717, -102
1.757, -96.36999512
1.797, -100.5199966
1.837, -98.40999603
1.877, -101.6699982
1.917, -98.94999695
1.957, -100.6199951
1.997, -105.5699997
2.036, -105.7399979
2.076, -99.47000122
2.116, -103.8399963
2.156, -103.7200012
2.196, -100.2999954
2.236, -101.4399948
2.276, -108.8499985
2.316, -105.8600006
2.356, -109.1899948
2.396, -109.2999954
2.436, -116.1399994
2.476, -111.8899994
2.516, -113.8099976
2.555, -107.2299957
2.595, -106.1499939
2.635, -109.3999939
2.675, -109.5499954
2.715, -108.7200012
2.755, -108.4799957
2.795, -111.6299973
2.835, -118.0499954
2.875, -115.5599976
2.915, -115.2599945
2.955, -114.7599945
2.995, -110.8699951
3.035, -109.6399994
3.074, -111.4599991
3.114, -110.9399948
3.154, -110.3999939
3.194, -116
3.234, -111.1399994
3.274, -120.1299973
3.314, -111.5299988
3.354, -118.75
3.394, -118.5499954
3.434, -116.5499954
3.474, -116.659996
3.514, -118.3899994
3.554, -112.6699982
3.593, -116.3199997
3.633, -114.5499954
3.673, -113.9300003
3.713, -120.7999954
3.753, -114.8600006
3.793, -120.2299957
3.833, -115.8999939
3.873, -118.1800003
3.913, -114.7999954
3.953, -114.6800003
3.993, -117.4899979
4.033, -114.0199966
4.073, -116.8499985
4.113, -117.7299957
4.152, -115.1699982
4.192, -110.0999985
4.232, -111.5999985
4.272, -113.8699951
4.312, -114.6299973
4.352, -116.6699982
4.392, -116.9499969
4.432, -112.5099945
4.472, -114.6299973
4.512, -118.5599976
4.552, -116.4599991
4.592, -115.9799957
4.631, -118.8399963
4.671, -116.5899963
4.711, -115.8799973
4.751, -117.5199966
4.791, -117.0599976
4.831, -113.9300003
4.871, -113.0599976
4.911, -120.9199982
4.951, -115.9899979
4.991, -121.6299973
5.031, -121.8899994
5.071, -121.409996
5.111, -121.8299942
5.151, -125.3499985
5.19, -125.4799957
5.23, -123.9699936
5.27, -123.909996
5.31, -129.0299988
5.35, -127.3399963
5.39, -124.909996
5.43, -133.0599976
5.47, -129.1199951
5.51, -128.3600006
5.55, -126.1699982
5.59, -129.5999908
5.63, -125.6699982
5.67, -124.8199997
5.71, -129.2099915
5.749, -131.5299988
5.789, -128.4899902
5.829, -132.7299957
5.869, -131.3000031
5.909, -134.3699951
5.949, -134.3000031
5.989, -144.1999969
6.029, -145.6900024
6.069, -149.6100006
6.109, -155.3999939
6.149, -160.4100037
6.189, -163.8300018
6.229, -167.8300018
6.268, -166.6399994
6.308, -173.5399933
6.348, -182.4299927
6.388, -192.5500031
6.428, -192.7599945
6.468, -208.7599945
6.508, -215.6399994
6.548, -221.5099945
6.588, -223.8099976
6.628, -233.8799896
6.668, -236.6499939
6.708, -239.4399872
6.748, -240.7299957
6.788, -247.0099945
6.827, -178.1399994
6.867, 60.66999817
6.907, 138.9599915
6.947, 130.2399902
6.987, 126.0799942
7.027, 121.1399994
7.067, 118
7.107, 105.9700012
7.147, 108.6199951
7.187, 100.6500015
7.227, 103.1800003
7.267, 103.8699951
7.307, 96.31999969
7.347, 95.19999695
7.386, 86.13999939
7.426, 77.97000122
7.466, 77.84999847
7.506, 73.52999878
7.546, 68.87999725
7.586, 64.40999603
7.626, 64.51999664
7.666, 64.69999695
7.706, 60.96999741
7.746, 61.18999863
7.786, 64.04999542
7.826, 64.72000122
7.866, 65.93000031
7.905, 61.75
7.945, 64.88999939
7.985, 59.82999802
8.025, 58.87999725
8.065, 61.56999969
8.105, 63.61999893
8.145, 64.06999969
8.185, 60.77999878
8.225, 61.00999832
8.265, 64.34999847
8.305, 64.69999695
8.345, 67.36000061
8.385, 64.91999817
8.425, 69.72000122
8.464, 72.04000092
8.504, 67.18000031
8.544, 67.58000183
8.584, 68.12999725
8.624, 70.58999634
8.664, 73.09999847
8.704, 75.90999603
8.744, 70.72000122
8.784, 65.59999847
8.824, 71.94999695
8.864, 65.86999512
8.904, 74.02999878
8.944, 64.86999512
8.984, 64.26000214
9.024, 68.05999756
9.063, 64.11999512
9.103, 61.34999847
9.143, 71.36999512
9.183, 74.5
9.223, 73.59999847
9.263, 76.81999969
9.303, 81.40000153
9.343, 79.18000031
9.383, 80.68999481
9.423, 73.22999573
9.463, 73.01999664
9.503, 66.36000061
9.543, 76.05999756
9.583, 82.47999573
9.622, 92.18000031
9.662, 92.90000153
9.702, 102.0899963
9.742, 111.4199982
9.782, 119.6699982
9.822, 123.0699997
9.862, -152.0599976
9.902, -255.4099884
9.942, -251.4299927
9.982, -242.2599945
10.022, -234.0499878
10.062, -226.5999908
10.102, -223.9899902
10.142, -216.6299896
10.181, -212.8099976
10.221, -201.6399994
10.261, -199.6399994
10.301, -192.6599884
10.341, -190.2299957
10.381, -184.0800018
10.421, -183.9799957
10.461, -174.1699982
10.501, -175.8199921
10.541, -168.8600006
10.581, -164.8000031
10.621, -158.7399902
10.661, -158.1900024
10.701, -157.6600037
10.741, -154.3699951
10.78, -147.7099915
10.82, -152.8699951
10.86, -140.8699951
10.9, -135.6100006
10.94, -134.3999939
10.98, -127.8299942
11.02, -124.5699997
11.06, -118.9599991
11.1, -118.9899979
11.14, -117.9300003
11.18, -110.2699966
11.22, -109.8999939
11.26, -109.0999985
11.299, -109.4199982
11.339, -111.6999969
11.379, -109.2200012
11.419, -103.5
11.459, -106.8199997
11.499, -108.4300003
