time, value
0.04, 109.8499985
0.08, 106.6499939
0.12, 89.02999878
0.16, 84.62999725
0.2, 85.02999878
0.24, 91.50999451
0.28, 89.59999847
0.32, 96.79000092
0.36, 109.1100006
0.399, 113.5899963
0.439, 106.9199982
0.479, 108.4799957
0.519, 111.409996
0.559, 109.6699982
0.599, 117.4399948
0.639, 110.1199951
0.679, 109.5699997
0.719, 110.5299988
0.759, 113.3499985
0.799, 103.3499985
0.839, 109.3899994
0.879, 102.5999985
0.918, 106.8999939
0.958, 106.1899948
0.998, 107.2599945
1.038, 114.5599976
1.078, 110.2200012
1.118, 112.9199982
1.158, 112.7099991
1.198, 109.8199997
1.238, 103.5799942
1.278, 111.7599945
1.318, 112.9300003
1.358, 109.5199966
1.398, 114.8399963
1.438, 114.1399994
1.477, 111.6899948
1.517, 110.0999985
1.557, 108.8499985
1.597, 111.9300003
1.637, 119.5999985
1.677, 116.8099976
1.717, 99.65999603
1.757, 107.8999939
1.797, 121.5299988
1.837, 117.9499969
1.877, 110.7799988
1.917, 109.659996
1.957, 112.2599945
1.997, 108.3999939
2.036, 110.9599991
2.076, 111.0599976
2.116, 111.3699951
2.156, 114.7200012
2.196, 117.4499969
2.236, 110.4599991
2.276, 111.75
2.316, 109.0400009
2.356, 112.3099976
2.396, 111.4700012
2.436, 104.8299942
2.476, 114.2900009
2.516, 113.8999939
2.555, 107.8600006
2.595, 116.2299957
2.635, 108.3999939
2.675, 106.6399994
2.715, 120.2799988
2.755, 117.2399979
2.795, 107.5299988
2.835, 104.0499954
2.875, 102.5899963
2.915, 102.4499969
2.955, 114.409996
2.995, 112.409996
3.035, 119.3799973
3.074, 119.4699936
3.114, 115.6199951
3.154, 114.1399994
3.194, 99.54000092
3.234, 107.6999969
3.274, 108.5
3.314, 104.75
3.354, 96.97999573
3.394, 102.75
3.434, 103.6899948
3.474, 95.43999481
3.514, 95.81999969
3.554, 98.11000061
3.593, 97.8299942
3.633, 99.48999786
3.673, 114.75
3.713, 106
3.753, 106.4899979
3.793, 106.4700012
3.833, 107.3299942
3.873, 104.8099976
3.913, 106.7099991
3.953, 107.0699997
3.993, 111.25
4.033, 104.9199982
4.073, 110.8299942
4.113, 110.5799942
4.152, 105.5899963
4.192, 114.8499985
4.232, 107.1899948
4.272, 104.3600006
4.312, 115.3099976
4.352, 112.159996
4.392, 108.6999969
4.432, 106.9700012
4.472, 105.0999985
4.512, 111.6199951
4.552, 103.9799957
4.592, 108.6999969
4.631, 115.159996
4.671, 106.25
4.711, 100.6100006
4.751, 106.1299973
4.791, 109.8699951
4.831, 106.3699951
