time, value
0, 0
0.04, 0
0.08, 0
0.12, 0
0.16, 0
0.2, 0
0.24, 0
0.28, 0
0.32, 0
0.36, 0
0.399, 0
0.439, 0
0.479, 0
0.519, 0
0.559, 0
0.599, 0
0.639, 0
0.679, 0
0.719, 0
0.759, 0
0.799, 0
0.839, 0
0.879, 0
0.919, 0
0.958, 0
0.998, 0
1.038, 0
1.078, 0
1.118, 0
1.158, 0
1.198, 0
1.238, 0
1.278, 0
1.318, 0
1.358, 0
1.398, 0
1.438, 0
1.478, 0
1.517, 0
1.557, 0
1.597, 0
1.637, 0
1.677, 0
1.717, 0
1.757, 0
1.797, 0
1.837, 0
1.877, 0
1.917, 0
1.957, 0
1.997, 0
2.036, 0
2.076, 0
2.116, 0
2.156, 0
2.196, 0
2.236, 0
2.276, 0
2.316, 0
2.356, 0
2.396, 0
2.436, 0
2.476, 0
2.516, 0
2.556, 0
2.595, 0
2.635, 0
2.675, 0
2.715, 0
2.755, 0
2.795, 0
2.835, 0
2.875, 0
2.915, 0
2.955, 0
2.995, 0
3.035, 0
3.075, 0
3.114, 0
3.154, 0
3.194, 0
3.234, 0
3.274, 0
3.314, 0
3.354, 0
3.394, 0
3.434, 0
3.474, 0
3.514, 0
3.554, 0
3.594, 0
3.633, 0
3.673, 0
3.713, 0
3.753, 0
3.793, 0
3.833, 0
3.873, 0
3.913, 0
3.953, 0
3.993, 0
4.033, 0
4.073, 0
4.113, 0
4.152, 0
4.192, 0
4.232, 0
4.272, 0
4.312, 0
4.352, 0
4.392, 0
4.432, 0
4.472, 0
4.512, 0
4.552, 0
4.592, 0
4.632, 0
4.671, 0
4.711, 0
4.751, 0
4.791, 0
4.831, 0
4.871, 0
4.911, 0
4.951, 0
4.991, 0
5.031, 0
5.071, 0
5.111, 0
5.151, 0
5.191, 0
5.23, 0
5.27, 0
5.31, 0
5.35, 0
5.39, 0
5.43, 0
5.47, 0
5.51, 0
5.55, 0
5.59, 0
5.63, 0
5.67, 0
5.71, 0
5.749, 0
5.789, 0
5.829, 0
5.869, 0
5.909, 0
5.949, 0
5.989, 0
6.029, 0
6.069, 0
6.109, 0
6.149, 0
6.189, 0
6.229, 0
6.269, 0
6.308, 0
6.348, 0
6.388, 0
6.428, 0
6.468, 0
6.508, 0
6.548, 0
6.588, 0
6.628, 0
6.668, 0
6.708, 0
6.748, 0
6.788, 0
6.828, 0
6.867, 0
6.907, 0
6.947, 0
6.987, 0
7.027, 0
7.067, 0
7.107, 0
7.147, 0
7.187, 0
7.227, 0
7.267, 0
7.307, 0
7.347, 0
7.387, 0
7.426, 0
7.466, 0
7.506, 0
7.546, 0
7.586, 0
7.626, 0
7.666, 0
7.706, 0
7.746, 0
7.786, 0
7.826, 0
7.866, 0
7.906, 0
7.945, 0
7.985, 0
8.025, 0
8.065, 0
8.105, 0
8.145, 0
8.185, 0
8.225, 0
8.265, 0
8.305, 0
8.345, 0
8.385, 0
8.425, 0
8.465, 0
8.504, 0
8.544, 0
8.584, 0
8.624, 0
8.664, 0
8.704, 0
8.744, 0
8.784, 0
8.824, 0
8.864, 0
8.904, 0
8.944, 0
8.984, 0
9.024, 0
9.063, 0
9.103, 0
9.143, 0
9.183, 0
9.223, 0
9.263, 0
9.303, 0
9.343, 0
9.383, 0
9.423, 0
9.463, 0
9.503, 0
9.543, 0
9.583, 0
9.623, 0
9.662, 0
9.702, 0
9.742, 0
9.782, 0
9.822, 0
9.862, 0
9.902, 0
9.942, 0
9.982, 0
10.022, 0
10.062, 0
10.102, 0
10.142, 0
10.182, 0
10.221, 0
10.261, 0
10.301, 0
10.341, 0
10.381, 0
10.421, 0
10.461, 0
10.501, 0
10.541, 0
10.581, 0
10.621, 0
10.661, 0
10.701, 0
10.741, 0
10.781, 0
10.82, 0
10.86, 0
10.9, 0
10.94, 0
10.98, 0
11.02, 0
11.06, 0
11.1, 0
11.14, 0
11.18, 0
11.22, 0
11.26, 0
11.3, 0
11.339, 0
11.379, 0
11.419, 0
11.459, 0
11.499, 0
11.539, 0
11.579, 0
11.619, 0
11.659, 0
11.699, 0
11.739, 0
11.779, 0
11.819, 0
11.858, 0
11.898, 0
11.938, 0
11.978, 0
12.018, 0
12.058, 0
12.098, 0
12.138, 0
12.178, 0
12.218, 0
12.258, 0
12.298, 0
12.338, 0
12.377, 0
12.417, 0
12.457, 0
12.497, 0
12.537, 0
12.577, 0
12.617, 0
12.657, 0
12.697, 0
12.737, 0
12.777, 0
12.817, 0
12.857, 0
12.896, 0
12.936, 0
12.976, 0
13.016, 0
13.056, 0
13.096, 0
13.136, 0
13.176, 0
13.216, 0
13.256, 0
13.296, 0
13.336, 0
13.376, 0
13.415, 0
13.455, 0
13.495, 0
