time, value
0.04, -0.01347909961
0.08, -0.01347909961
0.12, -0.01316399965
0.16, -0.01316399965
0.2, -0.01347909961
0.239, -0.01347909961
0.279, -0.01347909961
0.319, -0.01316399965
0.359, -0.01316399965
0.399, -0.01347909961
0.439, -0.01316399965
0.479, -0.01347909961
0.519, -0.01316399965
0.559, -0.01347909961
0.599, -0.01347909961
0.639, -0.01347909961
0.679, -0.01316399965
0.719, -0.01316399965
0.759, -0.01347909961
0.798, -0.01347909961
0.838, -0.01347909961
0.878, -0.01316399965
0.918, -0.01347909961
0.958, -0.01316399965
0.998, -0.01347909961
1.038, -0.01316399965
1.078, -0.01347909961
1.118, -0.01347909961
1.158, -0.01347909961
1.198, -0.01379419956
1.238, -0.01379419956
1.278, -0.01347909961
1.317, -0.01347909961
1.357, -0.01316399965
1.397, -0.01316399965
1.437, -0.01316399965
1.477, -0.01316399965
1.517, -0.01316399965
1.557, -0.01316399965
1.597, -0.01316399965
1.637, -0.01316399965
1.677, -0.01316399965
1.717, -0.01316399965
1.757, -0.01347909961
1.797, -0.01347909961
1.837, -0.01316399965
1.877, -0.01347909961
1.916, -0.01316399965
1.956, -0.01316399965
1.996, -0.01316399965
2.036, -0.01316399965
2.076, -0.01347909961
2.116, -0.01347909961
2.156, -0.01316399965
2.196, -0.01347909961
2.236, -0.01316399965
2.276, -0.01347909961
2.316, -0.01316399965
2.356, -0.01316399965
2.396, -0.01347909961
2.435, -0.01316399965
2.475, -0.01347909961
2.515, -0.01347909961
2.555, -0.01316399965
2.595, -0.01316399965
2.635, -0.01316399965
2.675, -0.01316399965
2.715, -0.01347909961
2.755, -0.01316399965
2.795, -0.01316399965
2.835, -0.01347909961
2.875, -0.01316399965
2.915, -0.01347909961
2.954, -0.01347909961
2.994, -0.01347909961
3.034, -0.01316399965
3.074, -0.01316399965
3.114, -0.01316399965
3.154, -0.01347909961
3.194, -0.01347909961
3.234, -0.01347909961
3.274, -0.01347909961
3.314, -0.01316399965
3.354, -0.01347909961
3.394, -0.01347909961
3.434, -0.01347909961
3.473, -0.01316399965
3.513, -0.01347909961
