time, value
0.005, 0.9952430725
0.045, 0.9952430725
0.085, 0.9962627888
0.125, 0.9942233562
0.165, 0.9952430725
0.205, 0.9952430725
0.245, 0.9962627888
0.285, 0.9962627888
0.325, 0.9952430725
0.365, 0.9952430725
0.405, 0.9952430725
0.445, 0.9952430725
0.485, 0.9952430725
0.525, 0.9952430725
0.564, 0.9962627888
0.604, 0.9952430725
0.644, 0.9952430725
0.684, 0.9962627888
0.724, 0.9952430725
0.764, 0.9962627888
0.804, 0.9962627888
0.844, 0.9952430725
0.884, 0.9962627888
0.924, 0.9952430725
0.964, 0.9952430725
1.004, 0.9962627888
1.044, 0.9952430725
1.084, 0.9962627888
1.124, 0.9952430725
1.164, 0.9962627888
1.204, 0.9952430725
1.244, 0.9952430725
1.284, 0.9952430725
1.324, 0.9952430725
1.364, 0.9952430725
1.404, 0.9962627888
1.444, 0.9952430725
1.484, 0.9962627888
1.524, 0.9962627888
1.564, 0.9962627888
1.604, 0.9952430725
1.644, 0.9952430725
1.684, 0.9962627888
1.724, 0.997282505
1.764, 0.9952430725
1.804, 0.9962627888
1.844, 0.997282505
1.884, 0.9962627888
1.924, 0.9962627888
1.964, 0.9962627888
2.004, 0.9952430725
2.044, 0.9952430725
2.084, 0.9942233562
2.124, 0.9942233562
2.164, 0.9962627888
2.204, 0.9952430725
2.244, 0.9952430725
2.284, 0.9962627888
2.324, 0.9962627888
2.364, 0.9952430725
2.404, 0.9962627888
2.444, 0.9952430725
2.484, 0.9962627888
2.524, 0.9942233562
2.564, 0.997282505
2.604, 0.9952430725
2.643, 0.9942233562
2.683, 0.9962627888
2.723, 0.9962627888
2.763, 0.9952430725
2.803, 0.9962627888
2.843, 0.9952430725
2.883, 0.9952430725
2.923, 0.9952430725
2.963, 0.9952430725
3.003, 0.9962627888
3.043, 0.9952430725
3.083, 0.9962627888
3.123, 0.9952430725
3.163, 0.9952430725
3.203, 0.9952430725
3.243, 0.9952430725
3.283, 0.9962627888
3.323, 0.9952430725
3.363, 0.9942233562
3.403, 0.9952430725
3.443, 0.9952430725
3.483, 0.9952430725
3.523, 0.9952430725
3.563, 0.9952430725
3.603, 0.9952430725
3.643, 0.9952430725
3.683, 0.9962627888
3.723, 0.9952430725
3.763, 0.9962627888
3.803, 0.9952430725
3.843, 0.9962627888
3.883, 0.9942233562
3.923, 0.997282505
3.963, 0.9962627888
4.003, 0.9952430725
4.043, 0.9952430725
4.083, 0.9962627888
4.123, 0.9962627888
4.163, 0.9962627888
4.203, 0.9962627888
4.243, 0.9942233562
4.283, 0.9942233562
4.323, 0.9942233562
4.363, 0.9952430725
4.403, 0.9942233562
4.443, 0.9952430725
4.483, 0.9942233562
4.523, 0.9962627888
4.563, 0.9942233562
4.603, 0.9952430725
4.642, 0.9952430725
4.682, 0.9952430725
4.722, 0.9952430725
4.762, 0.9952430725
4.802, 0.9962627888
