time, value
0.005, 0
0.045, -0.01999999955
0.085, -0.01999999955
0.125, -0.009999999776
0.165, -0.009999999776
0.205, -0.009999999776
0.245, -0.009999999776
0.285, -0.009999999776
0.325, -0.009999999776
0.365, -0.01999999955
0.405, -0.009999999776
0.445, -0.01999999955
0.485, -0.009999999776
0.525, -0.009999999776
0.565, -0.009999999776
0.605, -0.009999999776
0.645, -0.01999999955
0.685, -0.009999999776
0.725, -0.009999999776
0.764, -0.01999999955
0.804, -0.009999999776
0.844, -0.009999999776
0.884, -0.009999999776
0.924, -0.01999999955
0.964, -0.009999999776
1.004, -0.009999999776
1.044, -0.01999999955
1.084, -0.009999999776
1.124, -0.01999999955
1.164, -0.01999999955
1.204, -0.01999999955
1.244, -0.01999999955
1.284, -0.009999999776
1.324, -0.009999999776
1.364, -0.009999999776
1.404, -0.009999999776
1.444, -0.01999999955
1.484, -0.01999999955
1.524, -0.009999999776
1.564, -0.01999999955
1.604, -0.009999999776
1.644, -0.01999999955
1.684, -0.009999999776
1.724, -0.01999999955
1.764, -0.009999999776
1.804, -0.009999999776
1.844, -0.009999999776
1.884, -0.009999999776
1.924, -0.01999999955
1.964, -0.01999999955
2.004, -0.009999999776
2.044, -0.01999999955
2.084, -0.009999999776
2.124, -0.01999999955
2.164, -0.01999999955
2.204, -0.009999999776
2.244, -0.01999999955
2.284, -0.009999999776
2.324, -0.009999999776
2.364, -0.009999999776
2.404, -0.009999999776
2.444, -0.01999999955
2.484, -0.01999999955
2.524, -0.009999999776
2.564, -0.01999999955
2.604, -0.009999999776
2.644, -0.009999999776
2.684, -0.01999999955
2.724, -0.01999999955
2.764, -0.009999999776
2.804, -0.009999999776
2.844, -0.01999999955
2.883, -0.009999999776
2.923, -0.009999999776
2.963, -0.009999999776
3.003, -0.009999999776
3.043, -0.009999999776
3.083, -0.01999999955
3.123, -0.009999999776
3.163, -0.009999999776
3.203, -0.01999999955
3.243, -0.009999999776
3.283, -0.009999999776
3.323, -0.009999999776
3.363, -0.009999999776
3.403, -0.009999999776
3.443, -0.009999999776
3.483, -0.009999999776
3.523, -0.009999999776
3.563, -0.01999999955
3.603, -0.01999999955
3.643, -0.009999999776
3.683, -0.01999999955
3.723, -0.01999999955
3.763, -0.01999999955
3.803, -0.009999999776
3.843, -0.01999999955
3.883, -0.01999999955
3.923, -0.009999999776
3.963, -0.009999999776
4.003, -0.009999999776
4.043, -0.009999999776
4.083, -0.009999999776
4.123, -0.01999999955
4.163, -0.009999999776
4.203, -0.01999999955
4.243, -0.009999999776
4.283, -0.009999999776
4.323, 0
4.363, -0.009999999776
4.403, -0.009999999776
4.443, -0.009999999776
4.483, -0.009999999776
4.523, -0.01999999955
4.563, -0.009999999776
4.603, -0.01999999955
4.643, -0.009999999776
4.683, -0.009999999776
4.723, -0.01999999955
4.763, -0.009999999776
4.803, -0.009999999776
4.842, -0.009999999776
4.882, -0.01999999955
4.922, -0.01999999955
4.962, -0.01999999955
5.002, -0.01999999955
5.042, -0.009999999776
5.082, -0.01999999955
5.122, -0.009999999776
5.162, -0.009999999776
5.202, -0.009999999776
5.242, -0.009999999776
5.282, -0.009999999776
5.322, -0.009999999776
5.362, -0.009999999776
5.402, -0.01999999955
5.442, -0.009999999776
5.482, -0.009999999776
5.522, -0.009999999776
5.562, -0.009999999776
5.602, -0.009999999776
5.642, -0.009999999776
5.682, -0.009999999776
5.722, -0.009999999776
5.762, -0.009999999776
5.802, -0.009999999776
5.842, -0.009999999776
5.882, -0.009999999776
5.922, -0.009999999776
5.962, -0.009999999776
6.002, -0.009999999776
6.042, -0.009999999776
6.082, -0.009999999776
6.122, -0.009999999776
6.162, -0.009999999776
6.202, -0.01999999955
6.242, -0.009999999776
6.282, -0.009999999776
6.322, -0.009999999776
6.362, -0.009999999776
6.402, -0.01999999955
6.442, -0.009999999776
6.482, -0.009999999776
6.522, -0.009999999776
6.562, -0.009999999776
6.602, -0.009999999776
6.642, -0.009999999776
6.682, -0.009999999776
6.722, -0.009999999776
6.762, -0.01999999955
6.802, -0.009999999776
6.842, -0.01999999955
6.882, -0.009999999776
6.922, -0.009999999776
6.962, -0.009999999776
7.001, -0.009999999776
7.041, -0.009999999776
7.081, -0.009999999776
7.121, -0.009999999776
7.161, -0.009999999776
7.201, -0.009999999776
7.241, 0
7.281, -0.01999999955
7.321, -0.009999999776
7.361, -0.009999999776
7.401, -0.009999999776
7.441, -0.009999999776
7.481, -0.009999999776
7.521, -0.009999999776
7.561, -0.009999999776
7.601, -0.009999999776
7.641, -0.009999999776
7.681, -0.009999999776
7.721, -0.009999999776
7.761, -0.01999999955
7.801, -0.009999999776
7.841, -0.009999999776
7.881, -0.009999999776
7.921, -0.009999999776
7.961, -0.009999999776
8.001, -0.009999999776
8.041, -0.01999999955
8.081, -0.009999999776
8.121, -0.01999999955
8.161, -0.009999999776
8.201, -0.01999999955
8.241, -0.009999999776
8.281, -0.01999999955
8.321, -0.009999999776
8.361, -0.01999999955
8.401, -0.01999999955
8.441, -0.009999999776
8.481, 0
8.521, -0.009999999776
8.561, -0.009999999776
8.601, -0.009999999776
8.641, -0.009999999776
8.681, -0.009999999776
8.721, -0.009999999776
8.761, -0.01999999955
8.801, -0.009999999776
8.841, -0.01999999955
8.881, -0.01999999955
8.921, -0.009999999776
8.96, -0.009999999776
9, -0.009999999776
9.04, -0.009999999776
9.08, -0.01999999955
9.12, -0.01999999955
9.16, -0.009999999776
9.2, -0.01999999955
9.24, -0.009999999776
9.28, -0.01999999955
9.32, -0.009999999776
9.36, -0.009999999776
9.4, -0.009999999776
9.44, -0.009999999776
9.48, -0.009999999776
9.52, -0.01999999955
9.56, -0.01999999955
9.6, -0.009999999776
9.64, -0.009999999776
9.68, -0.009999999776
9.72, -0.009999999776
9.76, 0
9.8, -0.009999999776
9.84, -0.01999999955
9.88, -0.01999999955
9.92, -0.01999999955
9.96, -0.009999999776
10, -0.009999999776
10.04, -0.009999999776
10.08, -0.01999999955
10.12, -0.009999999776
10.16, -0.01999999955
10.2, -0.01999999955
10.24, -0.009999999776
10.28, -0.009999999776
10.32, 0
10.36, 0
10.4, -0.009999999776
10.44, -0.009999999776
10.48, -0.01999999955
10.52, -0.009999999776
10.56, -0.009999999776
10.6, -0.01999999955
10.64, -0.009999999776
10.68, -0.009999999776
10.72, -0.009999999776
10.76, -0.01999999955
10.799, -0.01999999955
10.839, -0.009999999776
10.879, -0.009999999776
10.919, -0.01999999955
10.959, -0.01999999955
10.999, -0.009999999776
11.039, -0.009999999776
11.079, -0.01999999955
11.119, -0.009999999776
11.159, -0.009999999776
11.199, -0.009999999776
11.239, -0.01999999955
11.279, -0.01999999955
11.319, -0.01999999955
11.359, -0.009999999776
11.399, -0.009999999776
11.439, -0.01999999955
11.479, -0.009999999776
11.519, -0.009999999776
11.559, -0.01999999955
11.599, 0
11.639, -0.01999999955
11.679, -0.01999999955
11.719, -0.009999999776
11.759, 0
11.799, -0.009999999776
11.839, -0.009999999776
11.879, -0.01999999955
11.919, -0.009999999776
11.959, -0.009999999776
11.999, -0.009999999776
12.039, -0.01999999955
12.079, -0.009999999776
12.119, -0.009999999776
12.159, 0
12.199, -0.009999999776
12.239, -0.01999999955
12.279, -0.01999999955
12.319, -0.01999999955
12.359, -0.009999999776
12.399, -0.01999999955
12.439, -0.009999999776
12.479, -0.009999999776
12.519, -0.009999999776
12.559, -0.009999999776
12.599, -0.009999999776
12.639, -0.009999999776
12.679, -0.01999999955
12.719, -0.009999999776
12.759, -0.009999999776
12.799, -0.009999999776
12.839, -0.01999999955
12.879, -0.009999999776
12.919, -0.009999999776
12.959, -0.009999999776
12.998, -0.009999999776
13.038, -0.009999999776
13.078, -0.01999999955
13.118, -0.009999999776
13.158, 0
13.198, -0.01999999955
13.238, -0.009999999776
13.278, -0.01999999955
13.318, -0.009999999776
13.358, -0.009999999776
13.398, -0.009999999776
13.438, -0.009999999776
13.478, -0.009999999776
