time, value
0.005, 0
0.045, 0
0.085, 0
0.125, 0
0.165, 0.009999999776
0.205, 0
0.245, 0
0.285, 0
0.325, 0
0.365, 0
0.405, 0
0.445, 0
0.485, 0
0.525, 0
0.565, 0
0.605, 0
0.645, 0
0.685, 0
0.725, 0
0.764, 0
0.804, 0
0.844, 0
0.884, 0
0.924, 0
0.964, 0
1.004, 0
1.044, 0
1.084, 0
1.124, 0
1.164, 0
1.204, 0
1.244, 0.009999999776
1.284, 0
1.324, 0
1.364, 0
1.404, 0
1.444, 0
1.484, 0
1.524, 0
1.564, 0
1.604, 0
1.644, 0
1.684, 0
1.724, 0
1.764, 0
1.804, 0
1.844, 0
1.884, 0
1.924, 0
1.964, 0.009999999776
2.004, 0
2.044, 0
2.084, 0
2.124, 0.009999999776
2.164, 0
2.204, 0
2.244, 0
2.284, 0
2.324, 0
2.364, 0
2.404, 0
2.444, 0
2.484, 0
2.524, 0
2.564, 0
2.604, 0
2.644, 0
2.684, 0
2.724, 0
2.764, 0
2.804, 0
2.844, 0
2.883, 0.009999999776
2.923, 0
2.963, 0
3.003, 0
3.043, 0
3.083, 0
3.123, 0
3.163, 0
3.203, 0.009999999776
3.243, 0
3.283, 0
3.323, 0
3.363, 0
3.403, 0.009999999776
3.443, 0
3.483, 0
3.523, 0
3.563, 0
3.603, 0
3.643, 0
3.683, 0.009999999776
3.723, 0
3.763, 0
3.803, 0
3.843, 0
3.883, 0.009999999776
3.923, 0
3.963, 0
4.003, 0
4.043, 0
4.083, 0
4.123, 0.009999999776
4.163, 0
4.203, 0
4.243, 0
4.283, 0
4.323, 0
4.363, 0
4.403, 0
4.443, 0
4.483, 0
4.523, 0.009999999776
4.563, 0
4.603, 0
4.643, 0
4.683, 0
4.723, 0
4.763, 0
4.803, 0
4.842, 0
4.882, 0
4.922, 0
4.962, 0
5.002, 0
5.042, 0
5.082, 0
5.122, 0
5.162, 0
5.202, 0
5.242, 0
5.282, 0
5.322, 0
5.362, 0
5.402, 0
5.442, 0
5.482, 0
5.522, 0
5.562, 0
5.602, 0
5.642, 0
5.682, 0
5.722, 0
5.762, 0
5.802, 0
5.842, 0
5.882, 0
5.922, 0
5.962, 0
6.002, 0
6.042, 0
6.082, 0
6.122, 0
6.162, 0
6.202, 0
6.242, 0.009999999776
6.282, 0.009999999776
6.322, 0
6.362, 0
6.402, 0
6.442, 0.009999999776
6.482, 0
6.522, 0
6.562, 0
6.602, 0
6.642, 0
6.682, 0
6.722, 0
6.762, 0
6.802, 0
6.842, 0
6.882, 0
6.922, 0
6.962, 0
7.001, 0
7.041, 0
7.081, 0
7.121, 0
7.161, 0
7.201, 0
7.241, 0
7.281, 0
7.321, 0
7.361, 0
7.401, 0
7.441, 0
7.481, 0
7.521, 0
7.561, 0
7.601, 0
7.641, 0
7.681, 0
7.721, 0
7.761, 0
7.801, 0
7.841, 0
7.881, 0
7.921, 0
7.961, 0.009999999776
8.001, 0
8.041, 0
8.081, 0
8.121, 0
8.161, 0
8.201, 0
8.241, 0
8.281, 0
8.321, 0
8.361, 0
8.401, 0
8.441, 0.009999999776
8.481, 0
8.521, 0
8.561, 0
8.601, 0
8.641, 0
8.681, 0
8.721, 0
8.761, 0
8.801, 0
8.841, 0
8.881, 0
8.921, 0
8.96, 0
9, 0
9.04, 0
9.08, 0
9.12, 0
9.16, 0
9.2, 0
9.24, 0
9.28, 0
9.32, 0
9.36, 0
9.4, 0
9.44, 0
9.48, 0
9.52, 0
9.56, 0.009999999776
9.6, 0
9.64, 0
9.68, 0
9.72, 0
9.76, 0
9.8, 0
9.84, 0
9.88, 0
9.92, 0.009999999776
9.96, 0
10, 0
10.04, 0
10.08, 0
10.12, 0
10.16, 0
10.2, 0
10.24, 0
10.28, 0
10.32, 0
10.36, 0
10.4, 0
10.44, 0
10.48, 0
10.52, 0
10.56, 0
10.6, 0
10.64, 0
10.68, 0
10.72, 0
10.76, 0
10.799, 0.009999999776
10.839, 0
10.879, 0
10.919, 0
10.959, 0
10.999, 0
11.039, 0
11.079, 0
11.119, 0
11.159, 0
11.199, 0
11.239, 0
11.279, 0.009999999776
11.319, 0
11.359, 0
11.399, 0
11.439, 0
11.479, 0
11.519, 0
11.559, 0
11.599, 0
11.639, 0
11.679, 0
11.719, 0
11.759, 0
11.799, 0
11.839, 0
11.879, 0
11.919, 0
11.959, 0
11.999, 0
12.039, 0.009999999776
12.079, 0
12.119, 0
12.159, 0
12.199, 0
12.239, 0
12.279, 0
12.319, 0
12.359, 0
12.399, 0
12.439, 0
12.479, 0
12.519, 0
12.559, 0
12.599, 0
12.639, 0
12.679, 0
12.719, 0
12.759, 0
12.799, 0
12.839, 0.009999999776
12.879, 0
12.919, 0
12.959, 0
12.998, 0
13.038, 0
13.078, 0
13.118, 0
13.158, 0
13.198, 0
13.238, 0
13.278, 0
13.318, 0
13.358, 0
13.398, 0
13.438, 0
13.478, 0
