time, value
0.005, -14.10999966
0.045, -11.85999966
0.085, -13.09999943
0.125, -16.85000038
0.165, -14.17000008
0.205, -13.75
0.245, -7.739999771
0.285, -15
0.325, -9.489999771
0.365, -14.13000011
0.405, -11.72999954
0.445, -11.84999943
0.485, -7.559999943
0.525, -10.92000008
0.565, -11.42999935
0.605, -11.92999935
0.645, -11.88000011
0.685, -14.88000011
0.725, -8.029999733
0.764, -13
0.804, -8.88999939
0.844, -12.27999973
0.884, -11.28999996
0.924, -14.52999973
0.964, -10.63999939
1.004, -10.27999973
1.044, -9.039999962
1.084, -9.649999619
1.124, -12.25
1.164, -11.71999931
1.204, -15.8399992
1.244, -12.30999947
1.284, -11.46999931
1.324, -15.32999992
1.364, -10.27999973
1.404, -17.82999992
1.444, -13.63000011
1.484, -14.89999962
1.524, -14.5
1.564, -11.88000011
1.604, -11.25999928
1.644, -11.01000023
1.684, -14.84999943
1.724, -12.92000008
1.764, -11.30999947
1.804, -11.32999992
1.844, -10.42999935
1.884, -14.23999977
1.924, -9.800000191
1.964, -12.25999928
2.004, -13.13000011
2.044, -9.170000076
2.084, -12.75999928
2.124, -12.13000011
2.164, -10.21999931
2.204, -10.93999958
2.244, -14.81999969
2.284, -10.26000023
2.324, -8.359999657
2.364, -13.78999996
2.404, -15.42000008
2.444, -11.81999969
2.484, -13.54999924
2.524, -14.60999966
2.564, -7.619999886
2.604, -12.78999996
2.644, -8.519999504
2.684, -11.13999939
2.724, -8.449999809
2.764, -6.579999924
2.804, -10.76000023
2.844, -14.46000004
2.883, -11.68999958
2.923, -9.989999771
2.963, -16.95999908
3.003, -11.56999969
3.043, -15.57999992
3.083, -11.69999981
3.123, -12.34999943
3.163, -10.39999962
3.203, -14.17999935
3.243, -13.86999989
3.283, -12.46999931
3.323, -12.68999958
3.363, -13.75
3.403, -10.80000019
3.443, -14.53999996
3.483, -14.5
3.523, -13.04999924
3.563, -13.73999977
3.603, -7.71999979
3.643, -13.10999966
3.683, -13.19999981
3.723, -14.38000011
3.763, -16.78999901
3.803, -13.21000004
3.843, -6.569999695
3.883, -11.77999973
3.923, -12.72999954
3.963, -11.02999973
4.003, -12.84999943
4.043, -9.409999847
4.083, -11.88000011
4.123, -9.519999504
4.163, -15.5
4.203, -16.62999916
4.243, -15.44999981
4.283, -18.14999962
4.323, -13.86999989
4.363, -14.42999935
4.403, -15.03999996
4.443, -11.43999958
4.483, -12.78999996
4.523, -12.82999992
4.563, -12.18999958
4.603, -14.09000015
4.643, -14.00999928
4.683, -9.88999939
4.723, -17.59000015
4.763, -11.50999928
4.803, -10.38999939
4.842, -12.60999966
4.882, -14.23999977
4.922, -11.21000004
4.962, -14.78999996
5.002, -13.36999989
5.042, -8.599999428
5.082, -7.599999905
5.122, -11.09999943
5.162, -17.39999962
5.202, -11.32999992
5.242, -10.31999969
5.282, -15.40999985
5.322, -16.39999962
5.362, -16.5
5.402, -11.42000008
5.442, -13.03999996
5.482, -12.03999996
5.522, -12.21000004
5.562, -10.73999977
5.602, -17.09000015
5.642, -7.329999924
5.682, -14.27999973
5.722, -11.75
5.762, -8.5
5.802, -11.80999947
5.842, -16.18000031
5.882, -13.68999958
5.922, -13.5
5.962, -12.82999992
6.002, -13.07999992
6.042, -9.369999886
6.082, -7.899999619
6.122, -13.04999924
6.162, -13.19999981
6.202, -9.220000267
6.242, -13.50999928
6.282, -13.31999969
6.322, -11.56999969
6.362, -10.07999992
6.402, -10.38999939
6.442, -6.309999943
6.482, -9.039999962
6.522, -13.55999947
6.562, -11.86999989
6.602, -13.97999954
6.642, -16.90999985
6.682, -10.67000008
6.722, -7.889999866
6.762, -10.63999939
6.802, -12.78999996
6.842, -8.800000191
6.882, -15.82999992
6.922, -14.46999931
6.962, -14.61999989
7.001, -14.69999981
7.041, -10.40999985
7.081, -10.10999966
7.121, -11.65999985
7.161, -10.17999935
7.201, -7.579999924
7.241, -13.84000015
7.281, -18.29999924
7.321, -16.18000031
7.361, -7.819999695
7.401, -13.30999947
7.441, -8.880000114
7.481, -5.46999979
7.521, -13.88000011
7.561, -10.2699995
7.601, -9.489999771
7.641, -15.22999954
7.681, -7.379999638
7.721, -8.309999466
7.761, -10.84000015
7.801, -14.02999973
7.841, -14.73999977
7.881, -18.92000008
7.921, -14.64999962
7.961, -11.85999966
8.001, -10.67999935
8.041, -11.17999935
8.081, -16.52999878
8.121, -13.40999985
8.161, -13.60999966
8.201, -12.30000019
8.241, -15.42999935
8.281, -17.46999931
8.321, -9.75
8.361, -6.909999847
8.401, -10.57999992
8.441, -16.32999992
8.481, -14.05999947
8.521, -13.54999924
8.561, -15.02999973
8.601, -16.25
8.641, -10.55000019
8.681, -12.61999989
8.721, -14.23999977
8.761, -11
8.801, -15.89999962
8.841, -12.39999962
8.881, -10.44999981
8.921, -13.72999954
8.96, -11.81999969
9, -10.06999969
9.04, -11.13999939
9.08, -12.46000004
9.12, -14.25
9.16, -15.56999969
9.2, -14.55999947
9.24, -16.63999939
9.28, -8.920000076
9.32, -8.470000267
9.36, -17.77999878
9.4, -14.55999947
9.44, -12.30999947
9.48, -11.11999989
9.52, -14.64999962
9.56, -10.48999977
9.6, -10.85999966
9.64, -9.43999958
9.68, -7.96999979
9.72, -10.5
9.76, -11.80000019
9.8, -12.53999996
9.84, -11.78999996
9.88, -15.52999973
9.92, -14.65999985
9.96, -11.63000011
10, -12.89999962
10.04, -8.599999428
10.08, -12.42000008
10.12, -16.80999947
10.16, -14.19999981
10.2, -10.73999977
10.24, -10.19999981
10.28, -11.07999992
10.32, -13.17000008
10.36, -7.599999905
10.4, -13.79999924
10.44, -14.7699995
10.48, -10.92999935
10.52, -13.34000015
10.56, -13.7699995
10.6, -10.80999947
10.64, -13.63999939
10.68, -11.38000011
10.72, -16.43000031
10.76, -13.5
10.799, -13.17999935
10.839, -14.2699995
10.879, -6.539999962
10.919, -8.13999939
10.959, -15.84999943
10.999, -9.899999619
11.039, -9.75
11.079, -11.94999981
11.119, -15.65999985
11.159, -14.38999939
11.199, -14.27999973
11.239, -10.55000019
11.279, -14.17000008
11.319, -12.79999924
11.359, -14.59999943
11.399, -10.0199995
11.439, -7.599999905
