time, value
0.005, 308.3999939
0.045, 312.1999817
0.085, 306.9199829
0.125, 312.8999939
0.165, 314.6099854
0.205, 315.5299988
0.245, 303.3299866
0.285, 310.9799805
0.325, 309.3099976
0.365, 310.5299988
0.405, 307.3500061
0.445, 313.0299988
0.485, 311.3399963
0.525, 310.4400024
0.565, 314.6099854
0.605, 309
0.645, 301.4299927
0.685, 303.6799927
0.725, 308.8399963
0.764, 308.5599976
0.804, 303.6199951
0.844, 312.1999817
0.884, 308.6399841
0.924, 304.4199829
0.964, 307.6300049
1.004, 314.539978
1.044, 309.3699951
1.084, 306.2200012
1.124, 313.5299988
1.164, 305.6999817
1.204, 305.289978
1.244, 315.6300049
1.284, 308.1099854
1.324, 311.1799927
1.364, 315.1499939
1.404, 315.2399902
1.444, 313.7799988
1.484, 307.1699829
1.524, 311.1799927
1.564, 309.8699951
1.604, 311.7599792
1.644, 310.3299866
1.684, 305.1099854
1.724, 312.6499939
1.764, 310.7200012
1.804, 311.6300049
1.844, 308.789978
1.884, 302.1900024
1.924, 313.4499817
1.964, 305.8699951
2.004, 308.3299866
2.044, 312.5099792
2.084, 313.5099792
2.124, 303.039978
2.164, 299.5
2.204, 304.2999878
2.244, 313.4400024
2.284, 306.6799927
2.324, 183.6499939
2.364, 243.9299927
2.404, 307
2.444, 312.6600037
2.484, 310.2099915
2.524, 313.3699951
2.564, 312.25
2.604, 318.3800049
2.644, 311.5499878
2.684, 310.4100037
2.724, 301.1900024
2.764, 312.2299805
2.804, 315.2799988
2.844, 308.7099915
2.883, 302.5700073
2.923, 312.9100037
2.963, 302.6799927
3.003, 309.3500061
3.043, 314.0099792
3.083, 307.7299805
3.123, 305.6300049
3.163, 307.1099854
3.203, 311.0599976
3.243, 309.1399841
3.283, 314.4100037
3.323, 311.3699951
3.363, 301.3200073
3.403, 308.0799866
3.443, 310.3599854
3.483, 311.3599854
3.523, 307.9599915
3.563, 305.4799805
3.603, 307.9799805
3.643, 313.25
3.683, 296.9700012
3.723, 302.9599915
3.763, 301.3999939
3.803, 303.8200073
3.843, 320.7599792
3.883, 312.0799866
3.923, 312.5700073
3.963, 315.4299927
4.003, 307.9799805
4.043, 316.1900024
4.083, 302.4299927
4.123, 313.3500061
4.163, 312.3200073
4.203, 308.6499939
4.243, 312.5799866
4.283, 307.6199951
4.323, 305.7799988
4.363, 308.1199951
4.403, 312.9199829
4.443, 309.269989
4.483, 312.4299927
4.523, 306.5899963
4.563, 307.0099792
4.603, 306.4100037
4.643, 302.4100037
4.683, 303.1099854
4.723, 309.5599976
4.763, 307.2099915
4.803, 311.5299988
4.842, 308.4100037
4.882, 312.0700073
4.922, 313.1099854
4.962, 300.7799988
5.002, 305.2299805
5.042, 306.1099854
5.082, 308.8500061
5.122, 308.5599976
5.162, 305.9400024
5.202, 312.5
5.242, 306.4700012
5.282, 311.7299805
5.322, 310.2999878
5.362, 302.539978
5.402, 310.5499878
5.442, 315.75
5.482, 312.1999817
5.522, 306.039978
5.562, 307.7299805
5.602, 311.0599976
5.642, 305.2099915
5.682, 309.289978
5.722, 312.8899841
5.762, 307.9799805
5.802, 311.5799866
5.842, 304.6099854
5.882, 302.0599976
5.922, 308.5899963
5.962, 313.7599792
6.002, 305.3599854
6.042, 304.0499878
6.082, 313.9700012
6.122, 308.6099854
6.162, 306.2799988
6.202, 309.5
6.242, 303.6000061
6.282, 306.4899902
6.322, 305.8500061
6.362, 309.6099854
6.402, 313.2299805
6.442, 307.789978
6.482, 314.1000061
6.522, 309.4599915
6.562, 308.519989
6.602, 307.3200073
6.642, 306.8299866
6.682, 307.9499817
6.722, 309.519989
6.762, 305.5299988
6.802, 304.2999878
6.842, 308.1900024
6.882, 304.7799988
6.922, 311.0700073
6.962, 306.7999878
7.001, 312.3899841
7.041, 309.5899963
7.081, 313.9299927
7.121, 311.5599976
7.161, 311.0700073
7.201, 312.2799988
7.241, 308.8599854
7.281, 304.3599854
7.321, 308.0700073
7.361, 308.0799866
7.401, 309.6499939
7.441, 307.1799927
7.481, 309.019989
7.521, 311.2799988
7.561, 308.8599854
7.601, 306.8099976
7.641, 308.7599792
7.681, 314.6600037
7.721, 315.5
7.761, 313.5599976
7.801, 312.1799927
7.841, 303.5599976
7.881, 301.2299805
7.921, 303.5499878
7.961, 313.25
8.001, 310.1799927
8.041, 306.6199951
8.081, 302.1199951
8.121, 305.4700012
8.161, 305.6300049
8.201, 310.4799805
8.241, 300.0499878
8.281, 307.0299988
8.321, 303.2099915
8.361, 115.3799973
8.401, 313.9700012
8.441, 309.6499939
8.481, 309.1799927
8.521, 307.2399902
8.561, 314.2399902
8.601, 309.7099915
8.641, 314.3800049
8.681, 310.9799805
8.721, 311.0599976
8.761, 309.7200012
8.801, 304.769989
8.841, 310.3099976
8.881, 304.8399963
8.921, 312.519989
8.96, 311.9700012
9, 308.6999817
9.04, 307.5599976
9.08, 306.9899902
9.12, 309.4299927
9.16, 307.5
9.2, 304.6699829
9.24, 301.8200073
9.28, 308.7299805
9.32, 309.9700012
9.36, 313.1799927
9.4, 313.9299927
9.44, 308.9799805
9.48, 305.5299988
9.52, 309.0499878
9.56, 311.5
9.6, 306.9799805
9.64, 311.4899902
9.68, 317.289978
9.72, 309.789978
9.76, 304.2399902
9.8, 308.6799927
9.84, 305.039978
9.88, 311.1199951
9.92, 312.7599792
9.96, 306.0599976
10, 310.3899841
10.04, 308.9100037
10.08, 309.5599976
10.12, 308.5099792
10.16, 313.3999939
