time, value
0.04, 11.01601315
0.08, 10.89327145
0.119, 10.7705307
0.159, 10.46367741
0.199, 10.40230751
0.239, 10.27956581
0.279, 10.34093666
0.319, 10.52504826
0.359, 10.34093666
0.399, 10.34093666
0.439, 10.40230751
0.479, 10.21819496
0.519, 10.21819496
0.559, 10.27956581
0.599, 10.27956581
0.639, 10.27956581
0.678, 10.34093666
0.718, 10.40230751
0.758, 10.27956581
0.798, 10.27956581
0.838, 10.21819496
0.878, 10.15682507
0.918, 10.09545422
0.958, 10.09545422
0.998, 10.03408337
1.038, 10.03408337
1.078, 10.03408337
1.118, 10.15682507
1.158, 9.972712517
1.197, 10.09545422
1.237, 10.03408337
1.277, 10.03408337
1.317, 9.972712517
1.357, 9.972712517
1.397, 9.788600922
1.437, 9.911342621
1.477, 9.911342621
1.517, 9.911342621
1.557, 9.911342621
1.597, 9.849971771
1.637, 9.911342621
1.677, 9.788600922
1.717, 9.788600922
1.756, 9.727230072
1.796, 9.788600922
1.836, 10.03408337
1.876, 9.788600922
1.916, 9.727230072
1.956, 9.788600922
1.996, 9.727230072
2.036, 9.788600922
2.076, 9.788600922
2.116, 9.727230072
2.156, 9.727230072
2.196, 9.665860176
2.236, 9.543118477
2.276, 9.543118477
2.315, 9.665860176
2.355, 9.604489326
2.395, 9.604489326
2.435, 9.665860176
2.475, 9.604489326
2.515, 9.543118477
2.555, 9.420377731
2.595, 9.420377731
2.635, 9.236266136
2.675, 8.929412842
2.715, 8.683930397
2.755, 8.622559547
2.795, 8.131594658
2.834, 7.82474184
2.874, 7.579259396
2.914, 7.3951478
2.954, 7.211035728
2.994, 6.965553284
3.034, 6.965553284
3.074, 6.842812061
3.114, 6.781441689
3.154, 6.842812061
3.194, 6.842812061
3.234, 6.904182911
3.274, 6.904182911
3.314, 6.904182911
3.353, 6.904182911
3.393, 6.781441689
3.433, 6.720070839
3.473, 6.720070839
3.513, 6.720070839
3.553, 6.597330093
3.593, 6.597330093
3.633, 6.535959244
3.673, 6.535959244
3.713, 6.474588871
3.753, 6.535959244
3.793, 6.474588871
3.833, 6.535959244
3.872, 6.597330093
3.912, 6.535959244
3.952, 6.535959244
3.992, 6.597330093
4.032, 6.474588871
4.072, 6.413218021
4.112, 6.413218021
4.152, 6.597330093
4.192, 6.474588871
4.232, 6.229106426
4.272, 6.351847649
4.312, 6.351847649
4.352, 6.290476799
4.391, 6.351847649
4.431, 6.229106426
4.471, 6.290476799
4.511, 6.290476799
4.551, 6.229106426
4.591, 6.229106426
4.631, 6.167735577
4.671, 6.229106426
4.711, 6.229106426
4.751, 6.044994354
4.791, 6.106365204
4.831, 6.106365204
4.871, 6.044994354
4.91, 5.983623981
4.95, 5.983623981
4.99, 6.106365204
5.03, 6.106365204
5.07, 6.106365204
5.11, 6.044994354
5.15, 6.106365204
5.19, 5.983623981
5.23, 6.106365204
5.27, 5.922253132
5.31, 5.983623981
5.35, 5.983623981
5.39, 5.983623981
5.43, 5.922253132
5.469, 5.922253132
5.509, 5.983623981
5.549, 5.983623981
5.589, 6.044994354
5.629, 6.044994354
5.669, 6.044994354
5.709, 6.044994354
5.749, 6.106365204
5.789, 6.167735577
5.829, 6.106365204
5.869, 6.229106426
5.909, 6.290476799
5.949, 6.413218021
5.988, 6.413218021
6.028, 6.413218021
6.068, 6.474588871
6.108, 6.535959244
6.148, 6.474588871
6.188, 6.351847649
6.228, 6.535959244
6.268, 6.413218021
6.308, 6.474588871
6.348, 6.413218021
6.388, 6.351847649
6.428, 6.290476799
6.468, 6.044994354
6.508, 5.922253132
6.547, 5.492659092
6.587, 5.36991787
6.627, 5.124435425
6.667, 5.124435425
6.707, 5.247176647
6.747, 6.290476799
6.787, 7.763371468
6.827, 8.868041992
6.867, 10.46367741
6.907, 8.929412842
6.947, 10.89327145
6.987, 11.01601315
7.027, 10.9546423
7.067, 11.01601315
7.106, 11.01601315
7.146, 10.89327145
7.186, 10.83190155
7.226, 10.83190155
7.266, 11.01601315
7.306, 11.01601315
7.346, 10.89327145
7.386, 10.7705307
7.426, 10.9546423
7.466, 10.9546423
7.506, 10.9546423
7.546, 10.9546423
7.586, 11.01601315
7.626, 10.9546423
7.665, 10.89327145
7.705, 11.01601315
7.745, 10.9546423
7.785, 10.9546423
7.825, 10.89327145
7.865, 10.9546423
7.905, 10.89327145
7.945, 10.89327145
7.985, 10.9546423
8.025, 10.89327145
8.065, 10.83190155
8.105, 11.01601315
8.145, 10.89327145
8.185, 10.9546423
8.224, 10.9546423
8.264, 11.077384
8.304, 11.01601315
8.344, 10.9546423
8.384, 10.89327145
8.424, 10.89327145
8.464, 11.077384
8.504, 10.89327145
8.544, 10.89327145
8.584, 10.89327145
8.624, 10.9546423
8.664, 10.9546423
8.704, 11.01601315
8.743, 10.89327145
8.783, 10.9546423
8.823, 10.9546423
8.863, 10.9546423
8.903, 10.89327145
8.943, 11.01601315
8.983, 11.01601315
9.023, 10.9546423
9.063, 10.9546423
9.103, 10.9546423
9.143, 10.89327145
9.183, 10.9546423
9.223, 10.83190155
9.263, 10.9546423
9.303, 10.9546423
9.342, 10.9546423
9.382, 11.01601315
9.422, 10.89327145
9.462, 11.01601315
9.502, 11.01601315
9.542, 10.83190155
9.582, 10.9546423
9.622, 10.9546423
9.662, 10.9546423
9.702, 10.89327145
9.742, 10.89327145
9.782, 10.9546423
9.822, 10.89327145
