time, value
0.04, -19.76000023
0.08, 8.039999962
0.12, 2.109999895
0.16, -2.369999886
0.2, 39.05999756
0.24, 23.52999878
0.28, 5.599999905
0.32, 16.93000031
0.36, 15.25999928
0.399, 0.9300000072
0.439, 15.72999954
0.479, 8.659999847
0.519, -1.429999948
0.559, -8.25
0.599, -12.10999966
0.639, -4.769999981
0.679, -7.139999866
0.719, -1.199999928
0.759, 7.730000019
0.799, 11.60999966
0.839, 8.449999809
0.879, 19.39999962
0.918, 19
0.958, 8.420000076
0.998, 5.339999676
1.038, -0.9499999881
1.078, -1.279999971
1.118, -0.8399999738
1.158, -2.849999905
1.198, -1.589999914
1.238, 6.150000095
1.278, 3.299999952
1.318, 0.6999999881
1.358, 1.480000019
1.398, 1.689999938
1.438, -2.659999847
1.477, 2.210000038
1.517, 4.230000019
1.557, 1.929999948
1.597, 2.109999895
1.637, -0.2099999934
1.677, 2.480000019
1.717, 0.75
1.757, -0.1099999994
1.797, 0.03999999911
1.837, -1.799999952
1.877, -0.08999999613
1.917, -4.039999962
1.957, -4.239999771
1.997, -7.089999676
2.036, -4.130000114
2.076, -1.139999986
2.116, -1.610000014
2.156, 2.809999943
2.196, 5.380000114
2.236, 1.159999967
2.276, -6.559999943
2.316, -2.169999838
2.356, -2.109999895
2.396, -10.17999935
2.436, -4.119999886
2.476, -1.419999957
2.516, -2.369999886
2.555, -4.429999828
2.595, -5.730000019
2.635, -5.889999866
2.675, -2.75
2.715, -3.470000029
2.755, -1.879999995
2.795, -16.02999878
2.835, -3.829999924
2.875, 1.439999938
2.915, -6.869999886
2.955, -5.909999847
2.995, -6.420000076
3.035, -0.04999999702
3.074, 4.409999847
3.114, -2.470000029
3.154, -8.25
3.194, -8.170000076
3.234, -4.179999828
3.274, -1.539999962
3.314, -4.549999714
3.354, 8.25
3.394, 0.07999999821
3.434, 3.779999971
3.474, 1.849999905
3.514, -6.039999962
3.554, 0.2599999905
3.593, -1.449999928
3.633, -4.599999905
3.673, -3.149999857
3.713, -2.779999971
3.753, -4.110000134
3.793, -2.329999924
3.833, -3.109999895
3.873, -0.2099999934
3.913, -4.130000114
3.953, -3.230000019
3.993, -0.6800000072
4.033, 1.299999952
4.073, -0.01999999955
4.113, 4.539999962
4.152, 13.14999962
4.192, 2.669999838
4.232, -2.5
4.272, 0.5899999738
4.312, -0.5199999809
4.352, -4.239999771
4.392, -5.670000076
4.432, -7.259999752
4.472, -4.730000019
4.512, -3.75999999
4.552, -8.659999847
4.592, -3.730000019
4.631, -2.230000019
4.671, -3.119999886
4.711, -8.519999504
4.751, 7.509999752
4.791, 4.71999979
4.831, -9.179999352
4.871, -5.440000057
4.911, 1.139999986
4.951, 0.07999999821
4.991, -8.609999657
5.031, -11.15999985
5.071, -5
5.111, -8.769999504
5.151, 8.970000267
5.19, 2.339999914
5.23, -11.18999958
5.27, -4.079999924
5.31, -2.909999847
5.35, -2.74000001
5.39, -3.089999914
5.43, -4.170000076
5.47, -5.949999809
5.51, -6.159999847
5.55, -2.549999952
5.59, 0.3299999833
5.63, 1.659999967
5.67, -11.59999943
5.71, -14.14999962
5.749, -3.789999962
5.789, -6.899999619
5.829, -21.22999954
5.869, -29.31999969
5.909, -24.44999886
5.949, -28.59000015
5.989, -27.21999931
6.029, -44.34000015
6.069, -47.16999817
6.109, -33.27999878
6.149, -45.79999924
6.189, -38.18000031
6.229, -41.29999924
6.268, -62.05999756
6.308, -87.65000153
6.348, -107.2399979
6.388, -105.7999954
6.428, -87.18999481
6.468, -73.52999878
6.508, -92.63999939
6.548, -101.1299973
6.588, -84.43000031
6.628, -57.18999863
6.668, -28.27999878
6.708, -30.63999939
6.748, -46.02999878
6.788, -59.34999847
6.827, -73.65999603
6.867, -69.68000031
6.907, -54.09000015
6.947, -47.2899971
6.987, -37.65999985
7.027, -46.84000015
7.067, -32.59000015
7.107, -12.75
7.147, -23.10000038
7.187, -36.45999908
7.227, -43.13999939
7.267, -28.38999939
7.307, -30.54999924
7.347, -24.97999954
7.386, -23.32999992
7.426, -31.39999962
7.466, -32.54000092
7.506, -20.68999863
7.546, -15.23999977
7.586, -17.57999992
7.626, -6.989999771
7.666, 5.739999771
7.706, 1.370000005
7.746, 2.399999857
7.786, -2.599999905
7.826, -4.789999962
7.866, -4.369999886
7.905, -1.860000014
7.945, -4.929999828
7.985, 2.039999962
8.025, -1.049999952
8.065, -5.569999695
8.105, 2.480000019
8.145, 2.5
8.185, 1.809999943
8.225, 5.480000019
8.265, 7.859999657
8.305, 6.639999866
8.345, 6.509999752
8.385, 6.449999809
8.425, 4.519999981
8.464, 2.019999981
8.504, 2.409999847
8.544, 0.8599999547
8.584, 1.50999999
8.624, 0.1499999911
8.664, -0.8399999738
8.704, -1.849999905
8.744, -1.129999995
8.784, 2.329999924
8.824, 4.909999847
8.864, 3.869999886
8.904, 1.469999909
8.944, 0.8799999952
8.984, -0.5399999619
9.024, 2.299999952
9.063, 12.5
9.103, 11.35999966
9.143, 7.489999771
9.183, 5.96999979
9.223, 1.579999924
9.263, 2.329999924
9.303, 13.15999985
9.343, 19.06999969
9.383, 24.81999969
9.423, 51.19999695
9.463, 68.22999573
9.503, 34.31999969
9.543, 26.45999908
9.583, 22.96999931
9.622, 25.35000038
9.662, 42.27000046
9.702, 46.91999817
9.742, 68.15000153
9.782, 69.41999817
9.822, 88
9.862, 98.11999512
9.902, 75.02999878
9.942, 58.71999741
9.982, 66.66999817
10.022, 64.62999725
10.062, 41.88999939
10.102, 66.56999969
10.142, 65.13999939
10.181, 59.75
10.221, 56.70999908
10.261, 36.46999741
10.301, 26.19999886
10.341, 28.76000023
10.381, 33.61999893
10.421, 39.88999939
10.461, 38.70000076
10.501, 31.15999985
10.541, 34.79000092
10.581, 34.84999847
10.621, 21.04999924
10.661, 21.81999969
10.701, 28.78999901
10.741, 33.36000061
10.78, 25.21999931
10.82, 33.25
10.86, 37.93999863
10.9, 37.88999939
10.94, 46.29999924
10.98, 41.62999725
11.02, 31.38999939
11.06, 23.32999992
11.1, 22.32999992
11.14, 23.6099987
11.18, 17.82999992
11.22, 10.96000004
11.26, 2.869999886
11.299, 7.419999599
11.339, 2.109999895
11.379, -3.449999809
11.419, -3.849999905
11.459, -7.889999866
11.499, -4.429999828
11.539, 1.839999914
11.579, 0.4299999774
11.619, -2.710000038
11.659, -8.010000229
11.699, -8.210000038
11.739, -5.779999733
11.779, -2.359999895
11.818, 6.359999657
11.858, 5.629999638
11.898, -3.49000001
11.938, 2.859999895
11.978, 4.869999886
12.018, 3.899999857
12.058, 1.469999909
12.098, 4.519999981
12.138, 3.159999847
12.178, -2.049999952
12.218, 0.5799999833
12.258, -1.309999943
12.298, 2.869999886
12.337, -0.1400000006
12.377, -6.659999847
12.417, -2.599999905
12.457, -1.730000019
12.497, -1.649999976
12.537, 0.3400000036
12.577, 1.370000005
12.617, 2.49000001
12.657, 0.7699999809
12.697, -1.100000024
12.737, -0.9899999499
12.777, 1.399999976
12.817, 1.279999971
12.857, 0.2800000012
12.896, 1.230000019
12.936, 5.889999866
12.976, 2.720000029
13.016, 0.2999999821
13.056, -1.25
13.096, 0.4499999881
13.136, 0.7799999714
13.176, -0.9399999976
13.216, 2.559999943
13.256, 0.2599999905
13.296, -5.900000095
13.336, -2.039999962
13.375, 7.509999752
13.415, -0.5199999809
13.455, -4.400000095
13.495, -0.4599999785
